title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
The pitfalls of cloud connectivity,-,https://medium.com/@renebuest,https://medium.com/@renebuest/the-pitfalls-of-cloud-connectivity-107bdede50ca?source=search_post---------0,"[<time datetime=""2016-08-01T06:39:57.902Z"">Jul 31, 2016</time>]",0,0 responses,3 min read,"['aws', 'azure', 'google-cloud-platform', 'devops', 'kubernetes', 'snowflake', 'aws', 'azure', 'google-cloud-platform', 'devops', 'kubernetes', 'snowflake', 'google-cloud-run', 'cloud-armor', 'cloud-load-balancers', 'security', 'google-cloud-run', 'cloud-armor', 'cloud-load-balancers', 'security', 'google-cloud-platform']","['https:\\u002F\\u002Fmedium.com\\u002F@adrian.gheorghe.dev\\u002Fhow-to-use-terraform-and-ansible-to-raise-a-jenkins-server-on-digitalocean-15246b687666', 'https:\\u002F\\u002Fmedium.com\\u002Fnipafx-news\\u002Fa-wild-mix-its-got-a-piano-a0333f8c6deb', 'https:\\u002F\\u002Fscalablepath.medium.com\\u002Fwhat-we-learnt-at-the-scaleconf-2017-scalability-summit-d6c7f1a2c75', 'https:\\u002F\\u002Flindsey-gillaspie.medium.com\\u002Fon-writing-well-through-a-tdd-lens-b0a8e246486c', 'https:\\u002F\\u002Fmedium.com\\u002F@ann_17\\u002Fjerry-hack-the-box-walkthrough-f0641b1c53c6', 'https:\\u002F\\u002Fmedium.com\\u002F@pkhadka56\\u002Finstall-cockroachdb-in-kubernetes-77066de4bd94', 'https:\\u002F\\u002Fnancy-momoland.medium.com\\u002Fthe-trumps-are-refusing-to-turn-over-the-keys-to-the-bidens-and-michelle-and-barack-obama-have-19d4661aa152', 'https:\\u002F\\u002Fmedium.com\\u002F@yosefsamuel\\u002Ferrors-we-faced-deploying-a-flask-app-and-how-we-fixed-them-3231323c3a9', 'https:\\u002F\\u002Fservian.dev\\u002Fexternal-ingress-control-for-cloud-run-afb3852c0d57']"
The significance of Frankfurt as a location for Cloud Connectivity,-,https://medium.com/@renebuest,https://medium.com/@renebuest/the-significance-of-frankfurt-as-a-location-for-cloud-connectivity-cd90090ea65e?source=search_post---------1,"[<time datetime=""2016-08-01T06:33:54.026Z"">Jul 31, 2016</time>]",0,0 responses,1 min read,"['vscode', 'google-cloud-platform', 'iap', 'ssh', 'windows-10', 'vscode', 'google-cloud-platform', 'iap', 'ssh', 'windows-10']","['https:\\u002F\\u002Fmedium.com\\u002Fethworks\\u002Fformal-verification-for-n00bs-part-4-understanding-k-language-6069c20cfd47', 'https:\\u002F\\u002Fmedium.com\\u002F@_MisterWalker_\\u002Fwe-all-were-wrong-baking-bad-and-most-bakers-were-using-wrong-data-to-calculate-staking-rewards-a8c26f5ec62b', 'https:\\u002F\\u002Fmedium.com\\u002Fsquare-corner-blog\\u002Fgetting-started-exploring-sdks-with-repl-driven-development-in-node-js-49e6316dc6a0', 'https:\\u002F\\u002Fmedium.com\\u002F@hamras\\u002Fjanuary-23-2017-at-11-54am-4dde221782eb', 'https:\\u002F\\u002Fmedium.com\\u002Fanalysts-corner\\u002Fthose-other-requirements-quality-attributes-and-their-inescapable-tradeoffs-31dc0691974d', 'https:\\u002F\\u002Fthedatafreak.medium.com\\u002Fsql-join-a-common-mistake-2aa03579ba1e', 'https:\\u002F\\u002Ffaun.pub\\u002Fhow-kubernetes-is-shaping-the-future-of-cars-59803cdb95e8', 'https:\\u002F\\u002Fmedium.com\\u002F@nskonieczko\\u002Fios-coordinator-319e42f88326', 'https:\\u002F\\u002Fsafwene-benaich.medium.com\\u002Fdeveloping-on-remote-vm-via-vscode-using-google-clouds-iap-6b6549f9270c']"
Sync your external or network drives to Google Drive with Plug-n-sync,Just plug and connect your…,https://medium.com/@insync,https://medium.com/@insync/sync-your-external-or-network-drive-to-google-drive-with-plug-n-sync-2d6c374e8ac2?source=search_post---------2,"[<time datetime=""2015-01-29T14:46:43.856Z"">Jan 29, 2015</time>]",15,2 responses,3 min read,"['alibabacloud', 'architecture', 'mysql', 'database', 'data-migration', 'alibabacloud', 'architecture', 'mysql', 'database', 'data-migration']","['https:\\u002F\\u002Fsumatosoft.medium.com\\u002Fcode-refactoring-meaning-purpose-benefits-2297082a8818', 'https:\\u002F\\u002Fmedium.com\\u002Fsubjective-studio\\u002Fsharex-for-mac-2f73068957b7', 'https:\\u002F\\u002Fjeandavidpeirolo.medium.com\\u002Fconcurrency-and-asynchronism-in-ns-operation-82b7d9e16b74', 'https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Fhow-cloud-native-is-reshaping-enterprise-it-architectures-c2b436de28d3', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Fcleaning-up-our-spawns-2a0dcdbeed0d', 'https:\\u002F\\u002Fnamsilydia27.medium.com\\u002Fmy-experience-at-skaehub-bootcamp-the-end-of-another-beginning-96de322a9529', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fa-practical-introduction-to-pandas-pivot-table-function-3e1002dcd4eb', 'https:\\u002F\\u002Fbenjaminjmallard.medium.com\\u002Fmy-star-wars-cli-project-78e7e0831119', 'https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Fmysql-external-based-replication-in-alibaba-cloud-b48b5b0ac9b8']"
External Configuration in Microservices: Spring Cloud Config,-,https://medium.com/@rubyshiv,https://medium.com/javarevisited/external-configuration-in-microservices-spring-cloud-config-9c925f64749f?source=search_post---------3,"[<time datetime=""2021-12-19T15:43:23.964Z"">Dec 19, 2021</time>]",9,0 responses,3 min read,"['aws', 'azure', 'snowflake', 'data', 'cloud-computing', 'aws', 'azure', 'snowflake', 'data', 'cloud-computing']",['https:\\u002F\\u002Fmedium.com\\u002Fhashmapinc\\u002Fvideo-artisanal-data-pipelines-best-practices-for-snowflake-external-staging-in-aws-and-azure-96545de1fb00']
MySQL External-based Replication in Alibaba Cloud,-,https://medium.com/@alibaba-cloud,https://medium.com/@alibaba-cloud/mysql-external-based-replication-in-alibaba-cloud-b48b5b0ac9b8?source=search_post---------4,"[<time datetime=""2020-06-01T02:36:50.956Z"">May 31, 2020</time>]",0,0 responses,6 min read,"['big-data', 'google-cloud-platform', 'bigquery', 'spark', 'cloud-storage', 'big-data', 'google-cloud-platform', 'bigquery', 'spark', 'cloud-storage']","['https:\\u002F\\u002Fmedium.zenika.com\\u002Fdeveloper-tools-for-cloud-run-30f9a477dc00', 'https:\\u002F\\u002Fblog.trikoder.net\\u002Fwriting-use-cases-the-nuts-the-bolts-and-the-examples-20a05c2aaaf0', 'https:\\u002F\\u002Fmedium.com\\u002Fglobant\\u002Fheeding-to-the-structure-of-your-house-the-paint-the-decor-ed9ef5a396c5', 'https:\\u002F\\u002Fmedium.com\\u002Ffirebase-developers\\u002Fpatterns-for-security-with-firebase-offload-client-work-to-cloud-functions-7c420710f07', 'https:\\u002F\\u002Fmedium.com\\u002F@IODCloudTech\\u002F5-tips-for-securing-your-docker-based-infrastructure-91e6a1bbc20c', 'https:\\u002F\\u002Fmedium.com\\u002F@nsmirnov\\u002Ffinops-team-roles-and-responsibilities-745a942a7ca3', 'https:\\u002F\\u002Fmedium.com\\u002Fcitihub\\u002Fmanaged-identities-on-aks-with-azureidentity-cdcc1f24fc95', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fmy-favorite-pieces-of-syntax-in-8-different-programming-languages-ba37b64fc232', 'https:\\u002F\\u002Fmedium.com\\u002F@_stevenlevine\\u002Fquerying-external-data-with-bigquery-1e7d055df4bc']"
How APIs are changing software as we know it,Remember when “the cloud” simply referred to random…,https://medium.com/@Nico_g,https://medium.com/@Nico_g/how-apis-are-changing-software-as-we-know-it-fc9dfdf8f16?source=search_post---------8,"[<time datetime=""2015-08-30T13:34:07.264Z"">Aug 30, 2015</time>]",21,0 responses,4 min read,[],"['https:\\u002F\\u002Fmedium.com\\u002Ftechnical-excellence\\u002F8-most-profitable-evergreen-niches-for-writers-to-make-passive-income-74ef853b88d5', 'https:\\u002F\\u002Fkellyleereeves.medium.com\\u002Fthank-you-8b317dfa20fb', 'https:\\u002F\\u002Fwajahatali-42811.medium.com\\u002Ftry-your-luck-on-legiit-and-start-earning-money-online-best-alternative-of-fiverr-b408d099ae89', 'https:\\u002F\\u002Fmedium.com\\u002Fthe-side-hustle-club\\u002Freflecting-on-the-easiest-side-hustle-i-ever-had-fdd8db4814dc', 'https:\\u002F\\u002Fmedium.com\\u002Fwriters-blokke\\u002Fways-get-prepared-land-freelance-writing-jobs-9a5f8dce4527', 'https:\\u002F\\u002Fmedium.com\\u002Fwe-are-the-european-journalism-centre\\u002Ffree-events-a-matchmaker-and-resources-for-freelancers-347f189668cd', 'https:\\u002F\\u002Fchristopherhanna32.medium.com\\u002Ffreelancing-as-a-university-student-9577c0c3a013', 'https:\\u002F\\u002Fmedium.com\\u002F@takimoore\\u002Fstop-going-cheap-d4ca9bf43151', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fwhy-fewer-clients-are-the-secret-ingredient-be99edee0e44', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fstop-calling-yourself-a-freelancer-youre-an-entrepreneur-4c53e8db846d']"
Query Logic Implementation in VBCS for ADF BC REST,-,https://medium.com/@andrejusb,https://medium.com/oracledevs/query-logic-implementation-in-vbcs-for-adf-bc-rest-a8e3c3a03b00?source=search_post---------9,"[<time datetime=""2018-09-19T19:45:11.972Z"">Sep 19, 2018</time>]",2,0 responses,3 min read,"['editors-pick', 'tds-features', 'deep-dives', 'data-governance', 'data-lineage', 'cloud-pak-for-data', 'editors-pick', 'tds-features', 'deep-dives', 'data-governance', 'data-lineage', 'cloud-pak-for-data']","['https:\\u002F\\u002Ftowardsdatascience.com\\u002Fcatalog-external-assets-for-a-360-data-lineage-448c8f6bf2b2', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Fhow-to-create-a-bi-dashboard-using-a-pivot-table-and-a-charting-library-3ade66b55600', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fhow-to-make-sure-your-good-idea-works-200352b04729', 'https:\\u002F\\u002Fnuwans.medium.com\\u002Fanalyzing-covid19-in-sri-lanka-with-python-caea03296381', 'https:\\u002F\\u002Ftaylorwstein.medium.com\\u002Fsimple-top-shot-marketplace-strategies-8e1ea2e521b2', 'https:\\u002F\\u002Fiaadi2508.medium.com\\u002Fa-clear-example-of-the-benefits-of-masks-is-a-recent-outbreak-in-south-korea-90b6b55d79e9', 'https:\\u002F\\u002Fmedium.com\\u002F@i.izzuddin\\u002Fthe-ending-is-another-start-c7d78bba2830', 'https:\\u002F\\u002Fmedium.com\\u002Fdata-first-circle\\u002Fhow-user-stories-helped-me-in-my-data-career-ff3a277a33d6', 'https:\\u002F\\u002Fmedium.com\\u002Fcriteo-engineering\\u002Flarge-scale-machine-learning-at-criteo-cf1d1b410bb5']"
Private Access to GCP APIs through VPN Tunnels,This tutorial demonstrates how to use APIs for Google…,https://medium.com/@salmaan-rashid,https://medium.com/google-cloud/private-access-to-gcp-apis-through-vpn-tunnels-ab0217918e38?source=search_post---------10,"[<time datetime=""2019-04-29T21:01:36.845Z"">Apr 29, 2019</time>]",58,1 response,16 min read,"['azure', 'azure-ad', 'cloud', 'irm', 'office-365', 'azure', 'azure-ad', 'cloud', 'irm', 'office-365']",['https:\\u002F\\u002Fmedium.com\\u002F@jpda\\u002Fsharepoint-online-irm-external-users-366d6967950e']
Kubernetes HPA Autoscaling with Custom and External Metrics,Using GKE and Stackdriver Metrics,https://medium.com/@jessicagreben,https://medium.com/uptime-99/kubernetes-hpa-autoscaling-with-custom-and-external-metrics-da7f41ff7846?source=search_post---------11,"[<time datetime=""2018-07-22T22:28:15.655Z"">Jul 22, 2018</time>]",333,6 responses,7 min read,"['javascript', 'oracle', 'cloud', 'oracle-jet', 'javascript', 'oracle', 'cloud', 'oracle-jet']",['https:\\u002F\\u002Fmedium.com\\u002Foracledevs\\u002Fquery-logic-implementation-in-vbcs-for-adf-bc-rest-a8e3c3a03b00']
Large Message Handling with Kafka: Chunking vs. External Store,-,https://medium.com/@workday_technology,https://medium.com/workday-engineering/large-message-handling-with-kafka-chunking-vs-external-store-33b0fc4ccf14?source=search_post---------12,"[<time datetime=""2018-05-23T18:05:08.282Z"">May 23, 2018</time>]",270,3 responses,7 min read,"['snowflake', 'data', 'cloud-computing', 'data-lake', 'll},', 'tartIndex', '},{', ':d6336a225756_74', 'agraph:d6336a225756_75', '']","['https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002Fgetting-started-with-numpy-d65ef0ffa0d2', 'https:\\u002F\\u002Fmedium.com\\u002F@roboslog\\u002Fdigital-thermometer-120170791632', 'https:\\u002F\\u002Fkristian-roopnarine.medium.com\\u002Fprogramming-pieces-arrays-26f315cb9d1b', 'https:\\u002F\\u002Fmedium.com\\u002F@spectre547\\u002Feyerise-it-blog-top-apps-of-developer-for-macos-803d5cb58057', 'https:\\u002F\\u002Fmedium.com\\u002F@lachlanmiller_52885\\u002Flocal-notifications-in-swift-5-and-ios-13-with-unusernotificationcenter-190e654a5615', 'https:\\u002F\\u002Fmedium.com\\u002Fclearscore\\u002Fcss-grid-flexbox-solving-real-world-problems-1cce3ecb2b51', 'https:\\u002F\\u002Fmedium.com\\u002Fandroid-news\\u002Fandroid-application-launch-explained-from-zygote-to-your-activity-oncreate-8a8f036864b', 'https:\\u002F\\u002Ffaun.pub\\u002Fdont-ask-what-you-can-do-for-documentation-ask-what-documentation-can-do-for-you-b0a4c1798218', 'https:\\u002F\\u002Fmedium.com\\u002Fhashmapinc\\u002Fwhy-you-should-use-snowflakes-external-tables-d209db04eff8']"
