title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
Monitoring in the time of Cloud Native,-,https://medium.com/@copyconstruct,https://medium.com/@copyconstruct/monitoring-in-the-time-of-cloud-native-c87c7a5bfa3e?source=search_post---------0,"[<time datetime=""2017-10-04T05:16:23.176Z"">Oct 4, 2017</time>]",2.5K,8 responses,41 min read,"['podcast', 'database', 'kubernetes', 'open-source', 'startup', 'podcast', 'database', 'kubernetes', 'open-source', 'startup']",['https:\\u002F\\u002Farchitecht.io\\u002Fcockroach-labs-ceo-on-building-a-database-for-a-cloud-native-world-ea52e1a6bedd']
Cloud Native Application Architecture,-,https://medium.com/@spatnaik77,https://medium.com/walmartglobaltech/cloud-native-application-architecture-a84ddf378f82?source=search_post---------1,"[<time datetime=""2019-02-12T20:18:23.351Z"">Feb 13, 2019</time>]",863,7 responses,7 min read,"['devo', 'siem', 'security', 'cloud-native', 'data-analytics', 'devo', 'siem', 'security', 'cloud-native', 'data-analytics']",['https:\\u002F\\u002Ftcv.medium.com\\u002Fempowering-the-cloud-first-enterprise-devos-advanced-cloud-native-security-analytics-provide-a-2029fc28c48e']
Introducing Flyte: A Cloud Native Machine Learning and Data Processing Platform,-,https://eng.lyft.com/@allygale,https://eng.lyft.com/introducing-flyte-cloud-native-machine-learning-and-data-processing-platform-fb2bb3046a59?source=search_post---------2,"[<time datetime=""2020-01-07T17:52:44.355Z"">Jan 7, 2020</time>]",946,6 responses,5 min read,"['big-data', 'data-science', 'artificial-intelligence', 'machine-learning', 'stream-processing', 'big-data', 'data-science', 'artificial-intelligence', 'machine-learning', 'stream-processing']","['https:\\u002F\\u002Fneeteeshyadav98.medium.com\\u002Farth-task-7-how-to-share-storage-on-fly-elasticity-to-datanode-f75468a66863', 'https:\\u002F\\u002Fdanyelvillalba7.medium.com\\u002Fmutable-immutable-everything-is-object-21d598f0ac0d', 'https:\\u002F\\u002Flanceseidman.medium.com\\u002Ffix-truffle-react-project-for-smart-contracts-with-metamask-and-solidity-d7a093d3cf66', 'https:\\u002F\\u002Fmedium.com\\u002F@andreamoynihan_2200\\u002Fcreate-an-app-for-free-android-feae5a1d82a7', 'https:\\u002F\\u002Fpython.plainenglish.io\\u002Fhow-to-recover-a-deleted-overwritten-python-file-aab525564be1', 'https:\\u002F\\u002Fmedium.com\\u002Fpractical-coding\\u002Fthree-advanced-pybind11-features-for-wrapping-c-code-into-python-6dbcac169b93', 'https:\\u002F\\u002Fmedium.com\\u002Fgetyourtechright\\u002Fsimplify-how-you-organize-files-by-using-search-c3b6c65a6b05', 'https:\\u002F\\u002Fmedium.com\\u002F@jrodriguez7715\\u002Fsetting-up-a-home-lab-running-active-directory-c25577af1fab', 'https:\\u002F\\u002Fodsc.medium.com\\u002Femerging-need-of-cloud-native-stream-processing-1be06adbd724']"
Cloud Native Computing,-,https://medium.com/@adrianco,https://medium.com/@adrianco/cloud-native-computing-5f0f41a982bf?source=search_post---------3,"[<time datetime=""2017-08-09T13:03:52.810Z"">Aug 9, 2017</time>]",401,4 responses,4 min read,"['cloud-computing', 'security', 'cloud-native', 'data-security', 'alibabacloud', 'cloud-computing', 'security', 'cloud-native', 'data-security', 'alibabacloud']","['https:\\u002F\\u002Fmedium.com\\u002Fasecuritysite-when-bob-met-alice\\u002Fthe-flawed-world-of-contact-tracing-wheres-carol-the-tester-3939ac92488a', 'https:\\u002F\\u002Flaura-nutt088.medium.com\\u002Floginradius-launches-wordpress-authentication-sso-plugin-to-streamline-login-experiences-fa5b00b4fbf2', 'https:\\u002F\\u002Fmedium.com\\u002Fasecuritysite-when-bob-met-alice\\u002Fbuilding-a-more-trusted-citizen-focused-world-94e56cabbf0d', 'https:\\u002F\\u002Fmuokicaleb.medium.com\\u002Finstalling-configuring-ssh-server-a51ae310f8db', 'https:\\u002F\\u002Fmedium.com\\u002F@anneconnell_60666\\u002Fyoure-a-mom-why-would-you-apply-for-this-hacker-job-30430371ed4c', 'https:\\u002F\\u002Fnonconfidentially1954.medium.com\\u002Fupdate-dog-bingo-live-dog-bingo-hack-free-resources-generator-28f79bb93232', 'https:\\u002F\\u002Fmedium.com\\u002Fasecuritysite-when-bob-met-alice\\u002Fbarebones-curve-25519-86c0633ae112', 'https:\\u002F\\u002Fsniffishness1965.medium.com\\u002Fupdate-moda-peque%C3%B1a-princesa-armario-de-la-belleza-hack-free-resources-generator-eda3b2d28b5e', 'https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Fnext-gen-enterprise-security-based-on-cloud-native-technology-6a6c28a6011e']"
State of Cloud Native CI/CD Tools for Kubernetes,-,https://engineering.opsgenie.com/@mustafaakin,https://engineering.opsgenie.com/cloud-native-continuous-integration-and-delivery-tools-for-kubernetes-e6ea34d308c?source=search_post---------4,"[<time datetime=""2018-05-22T13:03:29.122Z"">May 22, 2018</time>]",833,7 responses,9 min read,"['cloud-computing', 'alibabacloud', 'open-source', 'kubernetes', 'cloud-native', 'cloud-computing', 'alibabacloud', 'open-source', 'kubernetes', 'cloud-native']",['https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Fembarking-into-the-cloud-native-era-9695b043219b']
Kubeflow 1.0: Cloud Native ML for Everyone,"Coauthors: Jeremy Lewi (Google), Josh Bottum (Arrikto)…",https://medium.com/@thealamkin,https://medium.com/kubeflow/kubeflow-1-0-cloud-native-ml-for-everyone-a3950202751?source=search_post---------5,"[<time datetime=""2020-03-02T16:04:03.907Z"">Mar 2, 2020</time>]",484,2 responses,7 min read,"['devops', 'cloud', 'cloud-native', 'digital-transformation', 'devops', 'cloud', 'cloud-native', 'digital-transformation']","['https:\\u002F\\u002Fmedium.com\\u002Fnorth-thinking\\u002Fdigital-media-digest-may-19-2dbc8686a7cf', 'https:\\u002F\\u002Froselleebarle.medium.com\\u002Freopening-restaurants-in-the-new-normal-20a499dd647d', 'https:\\u002F\\u002Fsimonmainwaring.medium.com\\u002F2018-in-review-our-top-10-in-purpose-driven-branding-aa515f424038', 'https:\\u002F\\u002Fmedium.com\\u002F@josh_37913\\u002Fis-tesla-avoiding-liability-for-lemon-laws-212e04b16d06', 'https:\\u002F\\u002Fproductcoalition.com\\u002Fdoes-your-enterprise-have-a-clear-b2b-product-analytics-strategy-994e9da5cf6b', 'https:\\u002F\\u002Fdionlisle.medium.com\\u002Foutsourced-bank-r-d-for-competitive-advantage-1e05809eca6d', 'https:\\u002F\\u002Fmedium.com\\u002Fcreatorspad\\u002Fthe-case-for-internal-innovation-abb6d5aa2de9', 'https:\\u002F\\u002Fmedium.com\\u002F@alwaleedalfaki\\u002Ffacebook-what-happened-1dad130b454d', 'https:\\u002F\\u002Fmedium.com\\u002F@TheDigitalTP\\u002Fbecoming-a-cloud-native-business-the-digital-transformation-people-3bc7e884343d']"
Cloud Native Geoprocessing of Earth Observation Satellite Data with Pangeo,-,https://medium.com/@scottyhq,https://medium.com/pangeo/cloud-native-geoprocessing-of-earth-observation-satellite-data-with-pangeo-997692d91ca2?source=search_post---------6,"[<time datetime=""2018-10-01T23:18:49.770Z"">Oct 2, 2018</time>]",442,1 response,7 min read,"['microservices', 'software-development', 'programming', 'cloud-computing', 'web-development', 'microservices', 'software-development', 'programming', 'cloud-computing', 'web-development']","['https:\\u002F\\u002Fmedium.com\\u002Fspaceuptech\\u002Fhow-to-make-microservices-communicate-84b09d077c96', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Funiversal-language-model-to-boost-your-nlp-models-d59469dcbd64', 'https:\\u002F\\u002Fmedium.com\\u002Fserious-scrum\\u002Fhow-to-craft-a-product-goal-70802b761caa', 'https:\\u002F\\u002Fmedium.com\\u002F@timhberry\\u002Fterraform-pipelines-in-gitlab-415b9d842596', 'https:\\u002F\\u002Fmedium.com\\u002Fhackernoon\\u002Fdont-be-a-software-engineer-be-a-software-artist-204dbd47e8ca', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fwhy-should-data-scientists-use-functions-67cbbf932a99', 'https:\\u002F\\u002Fmedium.com\\u002Foverlay-blog\\u002Fhow-overlay-compiles-react-and-vue-js-components-from-designer-tools-96592760a640', 'https:\\u002F\\u002Fmedium.com\\u002Flinuxforeveryone\\u002Felementary-os-or-how-i-learned-to-stop-tweaking-linux-and-love-the-workflow-958147b038c', 'https:\\u002F\\u002Fbetterprogramming.pub\\u002Fhow-we-integrated-our-docs-and-sdks-as-first-class-citizens-of-our-coding-process-8e343def0e9']"
Cloud-Native Java vs Golang,-,https://medium.com/@domrevigor,https://medium.com/swlh/cloud-native-java-vs-golang-2a72c0531b05?source=search_post---------7,"[<time datetime=""2020-07-05T06:51:23.422Z"">Jul 5, 2020</time>]",846,11 responses,10 min read,"['cloud-computing', 'analysis', 'artificial-intelligence', 'kubernetes', 'open-source', 'cloud-computing', 'analysis', 'artificial-intelligence', 'kubernetes', 'open-source']","['https:\\u002F\\u002Farchitecht.io\\u002Fcan-free-bandwidth-unbundle-the-cloud-can-ai-and-cloud-native-unbundle-silicon-valley-2b58c8c95d7b', 'https:\\u002F\\u002Fmedium.com\\u002F@jonedwardsfilm\\u002Fthe-500-camera-budget-stills-cdb820c50fa3', 'https:\\u002F\\u002Fonezero.medium.com\\u002Finside-the-online-forums-that-investigate-chronic-illness-fakers-dfee48b0b320', 'https:\\u002F\\u002Fmedium.com\\u002F@TrivDaily\\u002Foriginal-iphone-se-rumors-claim-a-5g-mannequin-is-coming-next-one-year-86637842e5ff', 'https:\\u002F\\u002Fmedium.com\\u002F@farhanmonsurok\\u002Fgoogle-terminated-my-play-console-account-for-no-reason-ea9619759615', 'https:\\u002F\\u002Fmedium.com\\u002Fedtech-trends\\u002Friding-through-gotham-city-in-vr-e911bfebc427', 'https:\\u002F\\u002Findoxtrinate.medium.com\\u002Frepercussions-of-innovation-fb7ef1c9fe54', 'https:\\u002F\\u002Fmedium.com\\u002F@bucch\\u002Fthe-liberator-series-1-episode-1-full-eps-watch-or-download-7e9e05972c63', 'https:\\u002F\\u002Fishaan2bakshi5.medium.com\\u002Ftecno-spark-7p-some-specs-fff81bfe1be6', 'https:\\u002F\\u002Fmedium.com\\u002F23andme-engineering\\u002Fintroduction-to-nextflow-4d0e3b6768d1', 'https:\\u002F\\u002Fmedium.com\\u002F@aravindputrevu\\u002Fgetting-a-data-science-job-toydb-and-pycon-apac-3fced2300085', 'https:\\u002F\\u002Ffaun.pub\\u002Frobotic-data-automation-rda-reducing-costs-and-improving-efficiencies-of-your-log-management-2ee543703209', 'https:\\u002F\\u002Fkai-waehner.medium.com\\u002Fpanel-discussion-about-kafka-edge-networking-and-5g-in-oil-and-gas-and-mining-industry-1014fba790d0']"
Welcome to Cloud-Native Development with AWS Cloud9 & AWS CodeStar ⚡🎉,-,https://medium.com/@alexcasalboni,https://medium.com/hackernoon/welcome-to-cloud-native-development-with-aws-cloud9-aws-codestar-c7b6536afba8?source=search_post---------8,"[<time datetime=""2018-01-15T08:48:43.782Z"">Jan 15, 2018</time>]",963,6 responses,13 min read,"['programming', 'coding', 'software-development', 'web-development', 'cloud', 'programming', 'coding', 'software-development', 'web-development', 'cloud']",['https:\\u002F\\u002Fblog.devgenius.io\\u002Fwhat-is-cloud-native-what-to-know-for-your-interview-dc8da4fc1728']
Cloud-Native or Lift-and-Shift?,-,https://medium.com/@stephenorban,https://medium.com/aws-enterprise-collection/cloud-native-or-lift-and-shift-99970053b25b?source=search_post---------9,"[<time datetime=""2017-01-30T14:28:41.311Z"">Jan 30, 2017</time>]",226,2 responses,7 min read,[],"['https:\\u002F\\u002Fmedium.com\\u002Ftech-spotlight\\u002Fthe-new-microsoft-package-download-app-winstall-465dc65a8e17', 'https:\\u002F\\u002Fmedium.com\\u002F@rahmonn1016\\u002Fwhy-ios-14-is-the-change-apple-users-needed-e4784f542169', 'https:\\u002F\\u002Fmedium.com\\u002Fui-learning\\u002Fgui-and-society-part-1-desktop-ui-9fe47e412db', 'https:\\u002F\\u002Fmike21110274.medium.com\\u002Fblack-friday-streaming-deals-an-upgrade-guide-for-2020-28fe4b1f882', 'https:\\u002F\\u002Fdebugger.medium.com\\u002Fzoom-games-efeda8dceff9', 'https:\\u002F\\u002Fmedium.com\\u002F@ayushirsharma51019\\u002Ftechnology-the-greatest-pandemic-saviour-c7a4cfdafc42', 'https:\\u002F\\u002Fmedium.com\\u002F@ashutoshchauhan805\\u002Fabout-ec63cf96f8', 'https:\\u002F\\u002Fmedium.com\\u002F@ravijayagopal\\u002Falexa-whats-my-flash-briefing-53a4dde11ab3', 'https:\\u002F\\u002Fnews.greylock.com\\u002Fcloud-native-monitoring-at-scale-9a8bd96fcbea']"
