title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
I’m Leaving Google — Here’s the Real Deal Behind Google Cloud,-,https://medium.com/@amirhermelin,https://medium.com/@amirhermelin/im-leaving-google-and-here-s-the-real-deal-behind-google-cloud-1b86513be01b?source=search_post---------0,"[<time datetime=""2018-10-05T17:33:40.918Z"">Oct 5, 2018</time>]",23K,124 responses,8 min read,"['cloud-computing', 'software-architecture', 'aws', 'software-development', 'website', 'cloud-computing', 'software-architecture', 'aws', 'software-development', 'website']","['https:\\u002F\\u002Fmedium.com\\u002Fbbc-design-engineering\\u002Fmoving-bbc-online-to-the-cloud-afdfb7c072ff', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fmicroservice-architectural-patterns-introduction-80b5087e604', 'https:\\u002F\\u002Fmedium.com\\u002Frubrikkgroup\\u002Funderstanding-async-avoiding-deadlocks-e41f8f2c6f5d', 'https:\\u002F\\u002Fmedium.com\\u002F@mavasher\\u002Fin-the-cloud-heroku-to-alpaca-from-start-to-finish-b0b5040a2046', 'https:\\u002F\\u002Fmayukarne164.medium.com\\u002Fdata-visualization-with-pandas-472c910b3b79', 'https:\\u002F\\u002Fmedium.com\\u002F@isaiahlemon\\u002Fgrowth-as-a-developer-and-engineer-742a20debc7', 'https:\\u002F\\u002Frameshrajini.medium.com\\u002Fhow-to-become-google-cloud-certified-associate-cloud-engineer-ace-ff38ec0a7336', 'https:\\u002F\\u002Fmedium.com\\u002F@TheLittleNaruto\\u002Fcustom-gradle-tasks-with-custom-run-configuration-5e3f4d16e439', 'https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002F5-must-know-uses-of-the-sys-module-in-python-9931ab2e41e7', 'https:\\u002F\\u002Fmedium.com\\u002F@patilpushkar98\\u002Fsap-homogeneous-migration-from-azure-to-aws-4f73b9a9b11', 'https:\\u002F\\u002Fblog.devgenius.io\\u002Fhow-to-schedule-your-first-batch-job-with-azure-batch-job-service-c5d1c5601de4', 'https:\\u002F\\u002Flkgforit.com\\u002Fapi-management-developer-portal-in-vnet-cant-access-management-endpoint-114fa9d511d3', 'https:\\u002F\\u002Fofficegarageitpro.medium.com\\u002Fhow-to-get-started-with-azure-cosmos-db-88459c62845']"
"Prototyping, Libraries on Sketch Cloud and an official iOS UI kit in Sketch 49",-,https://blog.sketchapp.com/@sketchapp,https://blog.sketchapp.com/prototyping-libraries-on-sketch-cloud-and-an-official-ios-ui-kit-in-sketch-49-bf090c70796c?source=search_post---------1,"[<time datetime=""2018-02-28T11:23:30.247Z"">Feb 28, 2018</time>]",13K,58 responses,6 min read,"['google-cloud-platform', 'gcp', 'cloud', 'certification', 'google-cloud-platform', 'gcp', 'cloud', 'certification']","['https:\\u002F\\u002Fsathishvj.medium.com\\u002Fnotes-from-my-google-cloud-professional-data-engineer-exam-530d11966aa0', 'https:\\u002F\\u002Fnayansethi.medium.com\\u002Fimmuno-block-c683a1974fc5', 'https:\\u002F\\u002Fmedium.com\\u002F@mccm2310\\u002Fazure-functions-and-docker-27-06-2018-fd6a19f5f872', 'https:\\u002F\\u002Fmedium.com\\u002F@duvallp208\\u002Frestful-routing-in-rails-56a9c80a7610', 'https:\\u002F\\u002Fmedium.com\\u002F@natsunoyuki\\u002Fquantum-chaos-with-python-f4adfe4ab62c', 'https:\\u002F\\u002Fmedium.com\\u002Ffloatingapps\\u002Fflask-django-and-mysql-stats-collection-via-telegraf-sidecars-wavefront-in-a-kubernetes-9dbb78dc905a', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fexception-handling-abe9dfe7de10', 'https:\\u002F\\u002Fmedium.com\\u002Fpragmatic-programmers\\u002Fextracting-rumbl-and-rumblweb-85a0b7b09479', 'https:\\u002F\\u002Fblog.oceanprotocol.com\\u002Foceandao-round-13-is-live-16eda37f0126', 'https:\\u002F\\u002Fsathishvj.medium.com\\u002Fcloud-terminologies-videos-for-gcp-and-cloud-digital-leader-playlist-36c230a30a30', 'https:\\u002F\\u002Frameshrajini.medium.com\\u002Fhow-to-become-google-certified-cloud-digital-leader-acc726c03142', 'https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002Fwhy-and-what-is-cloud-computing-474e917ac040', 'https:\\u002F\\u002Ftowardsaws.com\\u002Fpassing-the-aws-certified-cloud-practitioner-clf-c01-and-aws-certified-solutions-architect-1560488488d7']"
6 links that will show you what Google knows about you,-,https://medium.com/@cloudfender,https://medium.com/productivity-in-the-cloud/6-links-that-will-show-you-what-google-knows-about-you-f39b8af9decc?source=search_post---------2,"[<time datetime=""2014-11-14T13:27:51.268Z"">Nov 14, 2014</time>]",2.8K,30 responses,2 min read,"['editors-pick', 'tds-features', 'deep-dives', 'editors-pick', 'tds-features', 'deep-dives', 'cloud-computing', 'towards-data-science', 'data-engineering', 'data-science', 'google-cloud-platform', 'cloud-computing', 'towards-data-science', 'data-engineering', 'data-science', 'google-cloud-platform']","['https:\\u002F\\u002Fbradleyallen1991.medium.com\\u002Fpicking-a-pixel-not-the-one-with-the-notch-obviously-1126c0543da3', 'https:\\u002F\\u002Fmedium.com\\u002F@jukylikamoze\\u002Fthe-benefits-of-the-memory-foammattress-https-t-co-5quy0multv-44948f39b399', 'https:\\u002F\\u002Fmedium.com\\u002F@jukylikamoze\\u002Fhow-about-a-mattress-and-itsmanufacturer-https-t-co-jnlafrgfmm-f327554914c0', 'https:\\u002F\\u002Fmedium.com\\u002Fsketchar\\u002Fthe-greatest-things-that-hit-us-in-2019-eb65825fc774', 'https:\\u002F\\u002Fmedium.com\\u002F@mahesh.mouli\\u002Fis-our-society-too-dependant-on-technology-7th-grade-speech-school-project-efd4ce99848', 'https:\\u002F\\u002Fmedium.com\\u002F23codestreet\\u002F8-awesome-tech-for-good-christmas-presents-4a403c9f1a63', 'https:\\u002F\\u002Fmurtie-djokobayu.medium.com\\u002Fdevices-mounted-on-wings-what-are-they-26c6534aef56', 'https:\\u002F\\u002Fmedium.com\\u002F@yannbregy\\u002Fgoogle-doesnt-make-us-stupid-our-culture-of-efficiency-does-e5af87dbf00c', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fhow-i-could-achieve-the-google-cloud-certification-challenge-6f07a2993197']"
The cloud skills shortage and the unemployed army of the certified,-,https://itnext.io/@jbesw,https://itnext.io/the-cloud-skills-shortage-and-the-unemployed-army-of-the-certified-bd405784cef1?source=search_post---------3,"[<time datetime=""2019-01-21T20:27:35.320Z"">Jan 22, 2019</time>]",5.8K,56 responses,7 min read,NA,NA
A Design Analysis of Cloud-based Microservices Architecture at Netflix,1. Introduction,https://medium.com/@caoducnguyen,https://medium.com/swlh/a-design-analysis-of-cloud-based-microservices-architecture-at-netflix-98836b2da45f?source=search_post---------4,"[<time datetime=""2020-05-01T16:35:25.003Z"">May 1, 2020</time>]",4.4K,17 responses,19 min read,"['firebase', 'javascript', 'elasticsearch', 'firebase-cloud-functions', 'firebase', 'javascript', 'elasticsearch', 'firebase-cloud-functions']","['https:\\u002F\\u002Fmedium.com\\u002Fjoolsoftware\\u002Fextending-firebase-with-cloud-functions-elasticsearch-129fbbb951e0', 'https:\\u002F\\u002F1athstudio.medium.com\\u002Fwe-are-1ath-studio-2f896530ec84', 'https:\\u002F\\u002Fmedium.com\\u002F@iebakar45\\u002Fi-focused-on-getting-things-just-right-consistency-mattered-ac845de734ce', 'https:\\u002F\\u002Feslamtarek-37668.medium.com\\u002Fraise-your-hand-if-you-want-to-quit-drinking-coffee-why-though-5725b58e3062', 'https:\\u002F\\u002Fchamalwr.medium.com\\u002Fchain-of-responsibility-design-pattern-e43e8ca73a02', 'https:\\u002F\\u002Fmedium.com\\u002F@Pyrvi\\u002Fstrings-built-in-methods-most-commonly-used-in-test-automation-6e23cb2a3ed', 'https:\\u002F\\u002Fmedium.com\\u002Fpowerof2\\u002Fexploring-dpdk-pipelines-without-hardware-nics-physical-virtual-a615b8b6c484', 'https:\\u002F\\u002Fmedium.com\\u002Fcdo-finance\\u002Fcdo-finance-weekly-digest-5-d11bf291484a', 'https:\\u002F\\u002Fmedium.com\\u002Fyoung-coder\\u002Fan-illustrated-guide-to-memory-the-stack-the-heap-and-pointers-40a604f7bc53', 'https:\\u002F\\u002Fmedium.com\\u002F@dannguyen1191\\u002Fdenoauth-solution-deno-oauth-2-0-54d3b6a4ef35', 'https:\\u002F\\u002Fmedium.com\\u002F@raviyasas\\u002Fuse-graphql-and-postgraphile-with-nestjs-c8aa013a18c5', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Fnestjs-spring-boot-lite-my-experience-with-nestjs-e40796ac56a0', 'https:\\u002F\\u002Fmedium.com\\u002F@owoputikehinde\\u002Fnestjs-authentication-with-passport-and-mysql-part-2-d0bd28ef72a5']"
Why you should not use Google Cloud.,-,https://medium.com/@serverpunch,https://medium.com/@serverpunch/why-you-should-not-use-google-cloud-75ea2aec00de?source=search_post---------5,"[<time datetime=""2018-06-29T11:24:17.515Z"">Jun 29, 2018</time>]",12.2K,50 responses,4 min read,"['cloud-computing', 'startup', 'software-development', 'tech', 'engineering', 'cloud-computing', 'startup', 'software-development', 'tech', 'engineering']","['https:\\u002F\\u002Fmedium.com\\u002Fbuilt-to-adapt\\u002Fhow-to-save-a-fortune-on-cloud-infrastructure-5ff418c7658c', 'https:\\u002F\\u002Fmedium.com\\u002Ftrillo-platform\\u002Fanatomy-of-a-serverless-insuretech-suite-8b72e3effe98', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fon-the-perception-of-being-fast-84e3253d2c1b', 'https:\\u002F\\u002Fmedium.com\\u002F@baileydiveley\\u002Fthe-design-in-software-design-mvc-d57b94c249ad', 'https:\\u002F\\u002Fmedium.com\\u002F@mattcmf\\u002F30-days-of-agile-testing-day-14-how-can-you-deliver-greater-value-to-the-customer-9eec97924e8a', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fquickly-make-an-api-with-auth-3e1e0ca695ef', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Fhow-to-stop-worrying-and-start-opensource-with-a-good-deploy-ci-and-demo-50cfaa3d4526', 'https:\\u002F\\u002Faiacobelli-sec.medium.com\\u002Fappsec-series-0x03-the-secure-development-lifecycle-7f395080a341', 'https:\\u002F\\u002Fengineering.mixpanel.com\\u002Fa-study-in-a-mixpanel-engineers-engineering-progress-3c9903d1fd6a', 'https:\\u002F\\u002Fmedium.com\\u002Fthe-serverless-edge\\u002Fdeveloping-for-the-cloud-are-you-wasting-time-and-money-424c40efa97c', 'https:\\u002F\\u002Fbobwilkinson20.medium.com\\u002Fa-scalable-agile-planning-and-delivery-framework-1874a40fdd4', 'https:\\u002F\\u002Fmedium.com\\u002Fthe-scale-factory\\u002Fsimplify-saas-tenant-deployments-with-infrastructure-as-code-4159af029f1', 'https:\\u002F\\u002Ffaun.pub\\u002Fserverless-diary-what-you-need-to-know-about-message-replay-strategy-5018fe670ff1']"
How I Cleared 3 Google Cloud Certifications in 3 Weeks,-,https://medium.com/@yesdeepakverma,https://medium.com/@yesdeepakverma/how-i-cleared-all-3-google-cloud-certifications-in-3-weeks-f5591aa22572?source=search_post---------6,"[<time datetime=""2018-12-11T17:49:14.327Z"">Dec 11, 2018</time>]",7K,25 responses,6 min read,"['aws', 'azure', 'google-cloud-platform', 'devops', 'kubernetes', 'snowflake', 'aws', 'azure', 'google-cloud-platform', 'devops', 'kubernetes', 'snowflake', 'big-data', 'apache-beam', 'sql', 'google-cloud-dataflow', 'big-data', 'google-cloud-platform', 'apache-beam', 'sql', 'google-cloud-dataflow']","['https:\\u002F\\u002Ftowardsdatascience.com\\u002Fbuilding-an-applied-science-portfolio-9f25da61fb45', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fbuilding-your-own-data-science-infrastructure-for-deep-learning-99ba17407af2', 'https:\\u002F\\u002Fmedium.com\\u002F@somnath.mahale\\u002Fdata-analytics-opportunity-for-businesses-4a3c8cd61ad5', 'https:\\u002F\\u002Fmedium.com\\u002F@JackMa1122\\u002Fsoftware-engineer-vs-data-scientist-salary-278d5c1c819a', 'https:\\u002F\\u002Fmedium.com\\u002F@opalkabert\\u002Fexploring-causes-of-death-of-soccer-players-316d7927c3aa', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Fbecome-a-successful-data-science-writer-962d737eaac0', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fhow-i-landed-a-high-6-figure-data-scientist-job-57486a9ca504', 'https:\\u002F\\u002Fnisargbakhai1999.medium.com\\u002Fusing-image-data-predict-the-gender-and-age-range-of-an-individual-in-python-53b2bebb0737', 'https:\\u002F\\u002Fservian.dev\\u002Fexploring-beam-sql-on-google-cloud-platform-b6c77f9b4af4']"
Dear Google Cloud: Your Deprecation Policy is Killing You,-,https://medium.com/@steve-yegge,https://medium.com/@steve-yegge/dear-google-cloud-your-deprecation-policy-is-killing-you-ee7525dc05dc?source=search_post---------7,"[<time datetime=""2020-08-15T01:51:35.966Z"">Aug 15, 2020</time>]",7.9K,63 responses,23 min read,NA,NA
Going Serverless: how to run your first AWS Lambda function in the cloud,-,https://medium.com/@awatt,https://medium.com/free-code-camp/going-serverless-how-to-run-your-first-aws-lambda-function-in-the-cloud-d866a9b51536?source=search_post---------8,"[<time datetime=""2017-06-07T20:49:36.692Z"">Jun 8, 2017</time>]",3.4K,35 responses,8 min read,"['google-cloud-platform', 'cloud-computing', 'devops', 'development', 'google-cloud-platform', 'cloud-computing', 'devops', 'development']","['https:\\u002F\\u002Fmedium.com\\u002Fcodeduck\\u002Fcloud-run-vs-app-engine-dc1871abedca', 'https:\\u002F\\u002Fblog.devgenius.io\\u002Fthe-three-questions-i-ask-when-reviewing-a-pull-request-8791b142e6cd', 'https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Funderstand-cloud-load-balancer-like-a-senior-engineer-d4f55f3111fc', 'https:\\u002F\\u002Fmedium.com\\u002F@suhadevvenkatesh\\u002Fdapper-googles-secret-weapon-56e43cd61653', 'https:\\u002F\\u002Fmedium.com\\u002Fhackernoon\\u002F2018-top-tech-team-trends-367e81e76e3d', 'https:\\u002F\\u002Fblog.devgenius.io\\u002Fdistribute-volume-in-glusterfs-de167af1d518', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fa-quick-introduction-to-service-meshes-c4c47c6894b1', 'https:\\u002F\\u002Ffaun.pub\\u002Fwant-to-be-in-the-top-1-of-it-teams-heres-what-it-takes-6f281b44b185', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Foauth-authentication-system-behind-the-scenes-e0720a3c31ab', 'https:\\u002F\\u002Fmedium.com\\u002F@hrtsachdeva\\u002Fhow-to-get-aws-security-keys-from-eks-pod-in-nodejs-508a89a5bfc5', 'https:\\u002F\\u002Fmedium.com\\u002F@yukihira\\u002Fci-cd-pipeline-with-aws-cdk-4f02f26aa127', 'https:\\u002F\\u002Fmedium.com\\u002F@nicolas.lagier\\u002Fwebpack-and-terraform-for-really-scalable-really-quickly-on-aws-bbbec6245ff1', 'https:\\u002F\\u002Fricky-bothra912.medium.com\\u002Fprinting-response-time-on-apache-and-nginx-logs-c55c6f4e95d5']"
The Evolution of UI/UX Designers Into Product Designers,-,https://medium.com/@creativecloud,https://medium.com/thinking-design/the-evolution-of-ui-ux-designers-into-product-designers-623e4e7eaab3?source=search_post---------9,"[<time datetime=""2017-01-17T23:56:09.832Z"">Jan 18, 2017</time>]",1.7K,19 responses,6 min read,"['data-science', 'kubernetes', 'kubeflow', 'tensorflow', 'open-source', 'data-science', 'kubernetes', 'kubeflow', 'tensorflow', 'open-source']","['https:\\u002F\\u002Fmedium.com\\u002Fkubeflow\\u002Fkubeflow-1-0-cloud-native-ml-for-everyone-a3950202751', 'https:\\u002F\\u002Fmedium.com\\u002Fsarus\\u002Fdistributed-ml-with-dask-and-kubernetes-on-gcp-97fdd6533736', 'https:\\u002F\\u002Fmedium.com\\u002Fgoogle-cloud\\u002Fgoogle-vertex-ai-the-easiest-way-to-run-ml-pipelines-3a41c5ed153', 'https:\\u002F\\u002Fmedium.com\\u002Fartefact-engineering-and-data-science\\u002Fserving-ml-models-at-scale-using-mlflow-on-kubernetes-bf27258775e7', 'https:\\u002F\\u002Fitnext.io\\u002Ftfservingcache-a-distributed-lru-cache-for-serving-tensorflow-models-in-kubernetes-d3c4bb959d56', 'https:\\u002F\\u002Fmedium.com\\u002F@samfreeman8or\\u002Flessons-learnt-diving-into-cross-platform-app-development-60864bdd4513', 'https:\\u002F\\u002Fmedium.com\\u002F@ankur.contact\\u002Fhow-scrum-addresses-the-five-dysfunctions-of-a-team-ce771ceb78a4', 'https:\\u002F\\u002Fmedium.com\\u002F@Teario\\u002Fhitman-codename-47-into-unity-35767735e2b7', 'https:\\u002F\\u002Fanchitbhagat13.medium.com\\u002Fexploratory-data-analysis-retail-using-python-4dc241158cd7', 'https:\\u002F\\u002Fmedium.com\\u002F@schweiger\\u002Fbikeshedding-my-dev-env-a3a4a97c636f', 'https:\\u002F\\u002Flerman01.medium.com\\u002Fspotify-playlists-based-radio-station-5979e48a6168', 'https:\\u002F\\u002Fmedium.com\\u002F@patryk_42447\\u002Fweb-3-0-whats-next-or-this-is-the-end-8a9edb13d265', 'https:\\u002F\\u002Fmedium.com\\u002Fbooking-product\\u002Fit-takes-a-flywheel-to-fly-b79ad69a62ee']"
