title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
Why learning to code Alexa Skills is the gateway to a cloud computing job,-,https://medium.com/@drew.firment,https://medium.com/free-code-camp/why-learning-to-code-alexa-skills-is-the-gateway-to-a-cloud-computing-job-fa13c1c0c853?source=search_post---------0,"[<time datetime=""2017-03-06T19:41:43.566Z"">Mar 6, 2017</time>]",1.4K,18 responses,4 min read,"['editors-pick', 'tds-features', 'deep-dives', 'editors-pick', 'tds-features', 'deep-dives', 'data-science', 'python', 'scraping', 'automation', 'machine-learning', 'data-science', 'python', 'scraping', 'automation', 'machine-learning']","['https:\\u002F\\u002Fscribblr42.medium.com\\u002Fscatterplots-a-love-story-e194b5890dc2', 'https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002Fdifferent-types-of-charts-and-graphs-for-visualizing-data-bd55b8c308f5', 'https:\\u002F\\u002Fcindyscheung.medium.com\\u002Fstory-structure-data-science-process-ac58baea8ffb', 'https:\\u002F\\u002Fmedium.com\\u002F@szekely.zoltan0321\\u002Fmy-intro-ff7d0684675e', 'https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002Fmissing-values-in-data-science-8e3989fc5e79', 'https:\\u002F\\u002Fmedium.com\\u002F@abhis197\\u002Fuser-churn-prediction-for-sparkify-udacity-dsnd-capstone-project-a6ef6f21a7c6', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fimportant-topics-in-machine-learning-that-every-data-scientist-must-know-9e387d880b3a', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fhow-to-do-advanced-analytics-on-graph-databases-in-azure-cosmos-db-f0a83b4cb5c4', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fbyod-build-your-own-dataset-for-free-67133840dc85']"
"What are Cloud Computing Services [IaaS, CaaS, PaaS, FaaS, SaaS]",-,https://medium.com/@nnilesh7756,https://medium.com/@nnilesh7756/what-are-cloud-computing-services-iaas-caas-paas-faas-saas-ac0f6022d36e?source=search_post---------1,"[<time datetime=""2017-11-08T11:35:34.320Z"">Nov 8, 2017</time>]",935,7 responses,2 min read,"['cloud-computing', 'cloud', 'hybrid-cloud', 'public-cloud', 'cloud-services', 'cloud-computing', 'cloud', 'hybrid-cloud', 'public-cloud', 'cloud-services']","['https:\\u002F\\u002Fmedium.com\\u002F@tobyhendricks80\\u002Fread-download-fundamentals-of-multimedia-texts-deb4104945e5', 'https:\\u002F\\u002Firushiniedilmika.medium.com\\u002Fjava-collection-framework-88a6996a97a2', 'https:\\u002F\\u002Fkadarsh994.medium.com\\u002Fkubernetes-the-linux-of-the-cloud-a6c084f6122a', 'https:\\u002F\\u002Fmedium.com\\u002F@hoagsie\\u002Fyoure-all-doing-entity-framework-wrong-ea0c40e20502', 'https:\\u002F\\u002Ftowardsdatascience.com\\u002Fa-simple-guide-to-deploying-a-dockerized-python-app-to-azure-29753ee507eb', 'https:\\u002F\\u002Fmedium.com\\u002Fhalodao\\u002Fepoch-4-updates-governance-voting-proposal-a97f584dbb2d', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Fbuild-your-symfony-applications-with-ease-using-ecotone-f7bcaa11b5c4', 'https:\\u002F\\u002Femqx.medium.com\\u002Femq-x-rule-engine-series-writing-messages-to-tdengine-a06e492712ab', 'https:\\u002F\\u002Fjaychapel.medium.com\\u002Fmulti-cloud-hybrid-cloud-and-cloud-spend-statistics-on-cloud-computing-ba4c194d2e10']"
Cloud Computing for Beginners,-,https://medium.com/@heyfebin,https://medium.com/hackernoon/cloud-computing-for-beginners-85d168959afb?source=search_post---------2,"[<time datetime=""2017-01-11T16:45:55.737Z"">Jan 11, 2017</time>]",830,13 responses,5 min read,"['cloud-computing', 'cloud', 'iaas', 'paas', 'saas', 'cloud-computing', 'cloud', 'iaas', 'paas', 'saas']",['https:\\u002F\\u002Fmedium.com\\u002F@Apiumhub\\u002Fcloud-computing-trends-to-watch-in-2017-6e0d8696256b']
Grid Computing | The Powers of Distributed Cloud Computing,-,https://medium.com/@marshalletaylor,https://medium.com/coincentral-staff/grid-computing-the-powers-of-distributed-cloud-computing-7098c11e673f?source=search_post---------3,"[<time datetime=""2018-12-04T14:51:11.000Z"">Dec 4, 2018</time>]",844,0 responses,6 min read,"['business', 'tech', 'technology', 'cloud-computing', 'software-development', 'business', 'tech', 'technology', 'cloud-computing', 'software-development']","['https:\\u002F\\u002Fbrand-on-fire.medium.com\\u002Fdns-and-wordpress-everything-you-need-to-know-c9e92c539864', 'https:\\u002F\\u002Fthescif.org\\u002Fnsi-experts-in-the-news-all-things-national-security-a8c916d27bd4', 'https:\\u002F\\u002Fmedium.com\\u002Fasecuritysite-when-bob-met-alice\\u002Fbasically-iot-bluetooth-security-is-rubbish-85e52ee6aa15', 'https:\\u002F\\u002Fintlclever.medium.com\\u002Fbusy-software-free-download-3-9-be430ac2fa31', 'https:\\u002F\\u002Fbidao-blockchain.medium.com\\u002Fbidao-testnet-live-1e0e90982a4f', 'https:\\u002F\\u002Fthescif.org\\u002Fnsi-experts-in-the-news-all-things-national-security-861a97091194', 'https:\\u002F\\u002Fp5v.medium.com\\u002Fmy-5-minute-gdpr-explanation-36aa8ced7344', 'https:\\u002F\\u002Fmedium.com\\u002Fnthparty\\u002Faccessible-and-scalable-secure-data-evaluation-de13abfd086c', 'https:\\u002F\\u002Fmedium.com\\u002Fdataseries\\u002Fmaking-the-most-of-platform-as-a-service-cloud-computing-ce5701b47eba']"
Cloud Computing vs. Fog Computing,-,https://medium.com/@brian.ray.IOT,https://medium.com/iotforall/cloud-computing-vs-fog-computing-aa94cbc4b827?source=search_post---------4,"[<time datetime=""2017-06-16T16:34:51.297Z"">Jun 16, 2017</time>]",207,6 responses,5 min read,[],"['https:\\u002F\\u002Fblog.computes.com\\u002Fcomputes-dos-decentralized-operating-system-e6056353c220', 'https:\\u002F\\u002Falexisschottenstein.medium.com\\u002Fhow-to-build-a-financial-planning-report-with-python-cebe25a107ed', 'https:\\u002F\\u002Fmedium.com\\u002F@mallah.rajesh\\u002Fsingle-and-multi-tenant-setup-of-ofbiz-erp-on-ubuntu-linux-an-walkthrough-for-newbies-d61d3552ad62', 'https:\\u002F\\u002Fmedium.com\\u002Fdata-science-for-kindergarten\\u002Fleetcode-mysql-180-consecutive-numbers-a221ec69c88d', 'https:\\u002F\\u002Fcotinetwork.medium.com\\u002Fcoti-nft-game-winter-midseason-and-seasonal-raffle-results-98b1145b83d6', 'https:\\u002F\\u002Feverod.medium.com\\u002Fbest-free-text-editor-for-mac-python-11b0c735528f', 'https:\\u002F\\u002Fblog.mturk.com\\u002Ftutorial-reconciling-worker-responses-280c96f1a696', 'https:\\u002F\\u002Fvetter-william.medium.com\\u002Fresourceful-girl-1828a39caec1', 'https:\\u002F\\u002Fdsilver829.medium.com\\u002Fudacitys-free-intro-to-cloud-computing-course-faf77d3d5c9e']"
My Favorite Courses to Learn Amazon Web Services (AWS) and Cloud Computing for Beginners — Best and Free,-,https://medium.com/@javinpaul,https://medium.com/javarevisited/top-10-courses-to-learn-amazon-web-services-aws-cloud-in-2020-best-and-free-317f10d7c21d?source=search_post---------5,"[<time datetime=""2020-02-13T05:59:00.003Z"">Feb 12, 2020</time>]",528,7 responses,14 min read,"['cloud-computing', 'aws', 'microsoft-azure', 'google-cloud-platform', 'software-development', 'cloud-computing', 'aws', 'microsoft-azure', 'google-cloud-platform', 'software-development']",['https:\\u002F\\u002Fjaychapel.medium.com\\u002Fhow-to-get-the-cheapest-cloud-computing-7561e6fa9848']
The Cost of Cloud Computing,A day in the life of two development teams,https://read.acloud.guru/@elliot_f,https://read.acloud.guru/the-true-cost-of-cloud-a-comparison-of-two-development-teams-edc77d3dc6dc?source=search_post---------6,"[<time datetime=""2018-03-01T20:21:07.570Z"">Mar 1, 2018</time>]",732,8 responses,8 min read,"['internet', 'technology', 'cloud-computing', 'internet', 'technology', 'cloud-computing']",['https:\\u002F\\u002Fmedium.com\\u002Falfonsofuggetta-it\\u002Fdove-vanno-i-servizi-di-cloud-computing-37cf5bfb48cf']
Unikernel Vs Container Vs Operating System: Side-By-Side Comparison,The next era in cloud computing,https://javascript.plainenglish.io/@mihalkrasnov,https://javascript.plainenglish.io/unikernel-vs-container-vs-operating-system-side-by-side-comparison-3b8d6d93665d?source=search_post---------7,"[<time datetime=""2020-05-01T18:16:01.000Z"">May 1, 2020</time>]",232,0 responses,7 min read,"['cloud-computing', 'technology', 'cloud-computing', 'technology']","['https:\\u002F\\u002Fmedium.com\\u002F@sivaraam\\u002Ff-droid-installing-very-old-versions-of-app-d7ffcf0898c0', 'https:\\u002F\\u002Fanakkendali.medium.com\\u002F4-recommendations-of-arduino-types-for-beginners-3d6dc1dffdaa', 'https:\\u002F\\u002Frusbenguzman.medium.com\\u002Fhow-to-create-a-timeline-in-unity-b1229628019f', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fsharepoint-pnp-provisioning-with-data-move-your-contents-from-one-site-to-another-in-sharepoint-ed009f4a9e58', 'https:\\u002F\\u002Fkari-marttila.medium.com\\u002Ffive-languages-five-stories-1afd7b0b583f', 'https:\\u002F\\u002Fmedium.com\\u002F@Chris_financialmarketsonline\\u002Fthe-most-effective-approach-to-learning-forex-trading-bcdaefee26ad', 'https:\\u002F\\u002Fbryantl-74329.medium.com\\u002Fhow-to-start-coding-for-good-9e294fc6a7a1', 'https:\\u002F\\u002Fmedium.com\\u002Fbridgecrew\\u002Fannouncing-checkov-prevent-cloud-misconfigurations-during-build-time-48776377c1e', 'https:\\u002F\\u002Fmedium.com\\u002F@aditi.chaudhry92\\u002Fwhat-is-cloud-computing-59d0d5570332']"
aelf — A Decentralized Platform for Cloud Computing,-,https://medium.com/@aelfblockchain,https://medium.com/aelfblockchain/aelf-a-decentralized-platform-for-cloud-computing-78165a5ec79d?source=search_post---------8,"[<time datetime=""2018-03-14T06:59:20.566Z"">Mar 13, 2018</time>]",904,9 responses,4 min read,"['managed-cloud-services', 'cloud-computing', 'managed-service-provider', 'managed-cloud-services', 'cloud-computing', 'man']","['https:\\u002F\\u002Fmedium.com\\u002F@SloaneTrugman\\u002Foptimization-empathy-not-mutally-exclusive-efaea5b1ba0c', 'https:\\u002F\\u002Fmedium.com\\u002Fdata-weekly\\u002Fdatabase-synchronization-with-symmetricds-performance-tips-a1fa14cb5c3c', 'https:\\u002F\\u002Fmedium.com\\u002F@riclewis\\u002Fproblems-installing-php-and-mysql-with-homebrew-for-laravel-valet-b3ed15632ffb', 'https:\\u002F\\u002Fhadeel-salah.medium.com\\u002Fuml-design-basics-b428154cd3f6', 'https:\\u002F\\u002Fmedium.com\\u002F@mallikakulkarni\\u002Ffunctional-programming-in-scala-1-options-82fa7431df9e', 'https:\\u002F\\u002Fmedium.com\\u002Ftechielife\\u002Fcitrix-prtg-destop-sensor-ab5ff5ed8bd', 'https:\\u002F\\u002Fmedium.com\\u002Fmonoswap\\u002Fbug-bounty-f5492b603fb0', 'name', 'lse,']"
How to choose a cloud computing technology for your startup,-,https://medium.com/@OfirChakon,https://medium.com/hackernoon/how-to-choose-a-cloud-computing-technology-for-your-startup-2527c0d68ce5?source=search_post---------9,"[<time datetime=""2017-09-02T16:20:15.577Z"">Sep 2, 2017</time>]",501,10 responses,9 min read,"['aws', 'cloud-computing', 'serverless', 'paas', 'cloud', 'aws', 'cloud-computing', 'serverless', 'paas', 'cloud']","['https:\\u002F\\u002Fmedium.com\\u002Fcapital-one-tech\\u002Fserverless-is-the-paas-i-always-wanted-9e9c7d925539', 'https:\\u002F\\u002Fmedium.com\\u002F@tyrealgray\\u002Fthe-newbies-way-of-explaining-a-star-search-algorithm-584a46302941', 'https:\\u002F\\u002Fmedium.com\\u002Fgeekculture\\u002Flimiting-player-movement-in-unity-8656053b1ce3', 'https:\\u002F\\u002Fgerswayne.medium.com\\u002Fhow-to-succeed-at-a-coding-bootcamp-before-you-begin-87054da5d41c', 'https:\\u002F\\u002Fcontact-rajeshvinayagam.medium.com\\u002Fmongodb-geospatial-data-4dea775d0464', 'https:\\u002F\\u002Fpraveen001.medium.com\\u002Ftemplate-in-python-from-typing-import-typevar-generic-list-f5d195221f34', 'https:\\u002F\\u002Fmedium.com\\u002Fanalytics-vidhya\\u002Fpython-sql-how-to-enable-the-execution-of-python-scripts-within-sql-server-e146c73a455b', 'https:\\u002F\\u002Fproandroiddev.com\\u002Fcreating-appbars-in-jetpack-compose-a8b5a5639930', 'https:\\u002F\\u002Fmedium.gravier.org\\u002Fspdx-for-dummies-6aa4557f3e82']"
