title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
"How to Share a Design System in Sketch, Part 1: Cloud Services",-,https://blog.brand.ai/@brandaiapp,https://blog.brand.ai/how-to-share-a-design-system-in-sketch-1-3-245308f2d7f1?source=search_post---------0,"[<time datetime=""2016-11-11T19:52:33.480Z"">Nov 12, 2016</time>]",315,4 responses,6 min read,[],['https:\\u002F\\u002Fmedium.com\\u002Ffoundations\\u002Fmicrosoft-azure-and-office-365-resourcing-issues-4df5b8efcc18']
Introducing Rigetti Quantum Cloud Services,The world’s only quantum-first cloud computing platform.,https://medium.com/@rigetticomputing,https://medium.com/rigetti/introducing-rigetti-quantum-cloud-services-c6005729768c?source=search_post---------1,"[<time datetime=""2018-09-07T17:06:02.427Z"">Sep 7, 2018</time>]",532,1 response,2 min read,"['blockchain', 'distributed-ledgers', 'cloud-services', 'blockchain', 'distributed-ledgers', 'cloud-services']",['https:\\u002F\\u002Flmanchu.medium.com\\u002F%E7%94%B1email%E7%9A%84%E6%95%85%E4%BA%8B%E7%9C%8B%E5%8D%80%E5%A1%8A%E9%8F%88%E7%9A%84%E7%99%BC%E5%B1%95-e2e6024f6279']
Building Your Own Deep Learning Computer And Saving Money on Cloud Services,-,https://towardsdatascience.com/@chrisfotache,https://towardsdatascience.com/building-your-own-deep-learning-computer-and-saving-money-on-cloud-services-c9797261077d?source=search_post---------2,"[<time datetime=""2019-10-10T23:49:13.807Z"">Oct 11, 2019</time>]",670,3 responses,8 min read,[],"['https:\\u002F\\u002Fmedium.com\\u002F@ronskurat\\u002Fi-suppose-its-one-stop-shopping-with-good-support-it-s-just-that-i-ve-had-three-too-many-fails-4b0ab4cbf598', 'https:\\u002F\\u002Fnderground-net.medium.com\\u002Fwhen-i-was-working-on-the-architecture-of-nderground-i-looked-at-many-cloud-providers-including-96f0d86d57c']"
Smart Home Cloud Services with Google: Part 2,-,https://medium.com/@devunwired,https://medium.com/google-developers/smart-home-cloud-services-with-google-part-2-3901ab39c39c?source=search_post---------3,"[<time datetime=""2019-09-27T15:31:01.155Z"">Sep 27, 2019</time>]",147,3 responses,11 min read,"['web3', 'web3', 'serverless', 'programming', 'aws', 'technology', 'tech', 'serverless', 'programming', 'aws', 'technology', 'tech']","['https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fim-nuc-done-yet-breathing-new-life-into-an-old-machine-f819f5e1c131', 'https:\\u002F\\u002Fmedium.com\\u002F@InternSenior\\u002Fbuild-a-dwarf-fortress-bootable-usb-e98de29686dc', 'https:\\u002F\\u002Fblog.devcolor.org\\u002Fwhy-are-early-identification-programs-so-important-f4f5a9af65e', 'https:\\u002F\\u002Fjavascript.plainenglish.io\\u002Favoiding-import-issues-in-typescript-monorepos-d5a4b21f90ef', 'https:\\u002F\\u002Fmedium.com\\u002Fserious-scrum\\u002Fa-basecamp-for-scrum-f21f8da2fc2c', 'https:\\u002F\\u002Fcodeburst.io\\u002Fmanaging-system-workloads-on-google-kubernetes-engine-gke-3e69edaf549a', 'https:\\u002F\\u002Flevelup.gitconnected.com\\u002Fuse-body-parser-express-middleware-to-parse-text-and-url-encoded-requests-286d419ce333', 'https:\\u002F\\u002Fmedium.com\\u002Ffandom-engineering\\u002Fmigrating-domains-from-wikia-com-to-fandom-com-c9f8867ade72', 'https:\\u002F\\u002Fbetterprogramming.pub\\u002Fmigrating-to-the-cloud-without-screwing-it-up-ee8455ca0c9e']"
Quantum Cloud Services™ opens in public beta,The QCS platform introduces an entirely new access model…,https://medium.com/@rigetticomputing,https://medium.com/rigetti/quantum-cloud-services-opens-in-public-beta-31989e15e36e?source=search_post---------4,"[<time datetime=""2019-01-30T19:01:00.846Z"">Jan 31, 2019</time>]",489,0 responses,2 min read,"['google-cloud-platform', 'api', 'algorithmic-trading', 'cloud-services', 'how-to', 'google-cloud-platform', 'api', 'algorithmic-trading', 'cloud-services', 'how-to']","['https:\\u002F\\u002Fitstomrobertson.medium.com\\u002Fmy-first-week-trading-dde490d73d10', 'https:\\u002F\\u002Fleadrsolutions.medium.com\\u002Frollovers-as-business-startups-4-most-common-compliance-issues-705286d36d15', 'https:\\u002F\\u002Fmedium.com\\u002F@hello_60370\\u002Fthings-to-do-now-if-you-have-no-savings-29ba21cdca47', 'https:\\u002F\\u002Fthemakingofamillionaire.com\\u002F3-important-reasons-your-happiness-depends-on-your-next-raise-eea6997c6076', 'https:\\u002F\\u002Fmedium.com\\u002F@bssdy\\u002Fhow-to-get-a-loan-for-a-property-db16f474547', 'https:\\u002F\\u002Fmedium.com\\u002F@rfpritch\\u002Fwhat-if-we-lived-forever-69c0f58598e', 'https:\\u002F\\u002Fmedium.datadriveninvestor.com\\u002Fwhy-the-poor-are-poorer-the-rich-are-richer-802a5437f431', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fshould-i-pay-off-my-student-debt-c2b73c1b209c', 'https:\\u002F\\u002Fmedium.com\\u002Fautomation-generation\\u002Fbuild-a-day-trading-algorithm-and-run-it-in-the-cloud-for-free-805450150668']"
Deploying Cloud Services & Applications Properly With Docker & Docker compose,-,https://medium.com/@narenarya,https://medium.com/dev-bits/deploying-cloud-services-applications-properly-with-docker-docker-compose-a4d9973a1953?source=search_post---------5,"[<time datetime=""2017-10-07T09:04:17.515Z"">Oct 7, 2017</time>]",182,4 responses,8 min read,"['big-data', 'alibaba-cloud', 'hbase', 'database', 'database-recovery', 'big-data', 'alibaba-cloud', 'hbase', 'database', 'database-recovery']","['https:\\u002F\\u002Fmedium.com\\u002F@saurabh.vivek75\\u002Finstalling-and-switching-between-multiple-versions-of-php-the-best-and-easy-way-on-mac-a54554fb8596', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Flets-toss-in-a-distraction-coin-4032fe1cc42c', 'https:\\u002F\\u002Fmedium.com\\u002Fscorelab\\u002Fgsoc20-scorelab-week-9-3fc9e1f26014', 'https:\\u002F\\u002Fmedium.com\\u002F@mcangelo200\\u002Fforloopghana-614b6b8c607a', 'https:\\u002F\\u002Fimovewiththewind.medium.com\\u002Fdo-god-s-exist-120773ea717d', 'https:\\u002F\\u002Fmedium.datadriveninvestor.com\\u002Fhow-cloud-services-are-winning-over-on-premises-so-far-in-2021-d8757d56a94b', 'https:\\u002F\\u002Fmedium.com\\u002Fringcentral-developers\\u002Fringcentral-developers-spring-20-release-8b97aaa06a00', 'https:\\u002F\\u002Fmedium.com\\u002F@basseyiniobong2\\u002Fthe-journey-so-far-and-the-achievements-by-plutos-network-september-2021-89fa01d240fb', 'https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Falibaba-cloud-hbase-x-pack-service-a-new-standard-for-hbase-cloud-services-c133a80bec17']"
How to test Google Cloud services locally in Docker,-,https://medium.com/@kevinsimper,https://medium.com/google-cloud/how-to-test-google-cloud-services-locally-in-docker-d74196147841?source=search_post---------6,"[<time datetime=""2017-03-20T13:39:58.584Z"">Mar 20, 2017</time>]",150,3 responses,1 min read,"['microservices', 'cloud-services', 'engineering', 'declarative-programming', 'tech-in-philadelphia', 'microservices', 'cloud-services', 'engineering', 'declarative-programming', 'tech-in-philadelphia']","['https:\\u002F\\u002Fastromedavid.medium.com\\u002Fanother-wave-the-same-mistakes-608aba58a44', 'https:\\u002F\\u002Fmedium.com\\u002F@joshwatts592\\u002Fsmooth-out-jerky-movement-in-unity-7a0ac768fa5', 'https:\\u002F\\u002Fmedium.com\\u002F@i.kulgavy\\u002Fwe-all-make-mistakes-were-only-human-importance-of-testing-8e657666b200', 'https:\\u002F\\u002Fmedium.com\\u002F@logicify\\u002Fhow-to-craft-a-connected-office-solution-with-just-a-soldering-iron-and-a-bit-of-enthusiasm-973f713efbaa', 'https:\\u002F\\u002Fzukimoba.medium.com\\u002Fonly-1-hour-left-for-zuki-moba-ido-on-lzpad-5bb4f9cc82b', 'https:\\u002F\\u002Fnamratesh.medium.com\\u002Fweb-automation-using-selenium-with-python-c02081a1e740', 'https:\\u002F\\u002Fmedium.com\\u002Fcraftdata-labs\\u002Fparallel-programming-for-data-processing-part-ii-multiprocessing-and-multithreading-8ec8649e9dd1', 'https:\\u002F\\u002Fjsnation.medium.com\\u002Fmatteo-collina-david-clements-companies-should-enable-their-devs-to-contribute-back-to-open-1a37dea860ca', 'https:\\u002F\\u002Fmedium.com\\u002Fpenn-engineering\\u002Ftaking-penn-engineering-technology-to-market-a724f368e45b']"
The Future of Cloud Services is Borderless,-,https://medium.com/@jeffandersen,https://medium.com/hackernoon/the-future-of-cloud-services-is-borderless-4710914f1b01?source=search_post---------7,"[<time datetime=""2018-01-22T18:09:38.055Z"">Jan 22, 2018</time>]",566,0 responses,5 min read,"['cloud-computing', 'cloud', 'cloud-services', 'cloud-storage', 'cryptocurrency', 'cloud-computing', 'cloud', 'cloud-services', 'cloud-storage', 'cryptocurrency']","['https:\\u002F\\u002Fcryptocean.medium.com\\u002Fofficial-medium-page-link-inside-327cefa637d4', 'https:\\u002F\\u002Fmedium.com\\u002Fcybermiles\\u002Fcyberworld-v1-0-airdrop-campaign-came-to-a-successful-conclusion-51b4a42ffa9b', 'https:\\u002F\\u002Fesmyl.medium.com\\u002Fexploiting-laravel-v8-30-0-php-v7-3-25-debug-rce-3731f69c33d7', 'https:\\u002F\\u002Fwickr.medium.com\\u002Fbenefits-of-investing-in-data-security-e8b2a1ad5e0c', 'https:\\u002F\\u002Ftridentsec.medium.com\\u002Fcve-2021-33570-postbird-0-day-vulnerability-86f75ffdb83', 'https:\\u002F\\u002Fmedium.com\\u002Fflytbase\\u002F6-reasons-to-use-flytnow-to-automate-drones-for-perimeter-security-6fe27c6c1a4b', 'https:\\u002F\\u002Fmedium.com\\u002F@Airdrop.addicted\\u002Fneonomad-airdrop-rewards-nni-tokens-end-date-1-february-2022-d0ed99732539', 'https:\\u002F\\u002Fmedium.com\\u002F@malwarehelp\\u002Fhow-to-remove-masksearch-com-easily-da0097b405c2', 'https:\\u002F\\u002Fhighwayman1991.medium.com\\u002Fcloud-computing-in-a-modern-world-distributed-cloud-computing-by-hivenet-f6f2f96294d5']"
Cybersecurity researchers demonstrate the vulnerabilities of Cloud services,CYBERSECURITY BULLETIN,https://medium.com/@khanfk,https://medium.com/technicity/cybersecurity-researchers-demonstrate-the-vulnerabilities-of-cloud-services-79f0b812eb2a?source=search_post---------8,"[<time datetime=""2021-12-07T02:32:44.236Z"">Dec 7, 2021</time>]",190,0 responses,3 min read,"['netflix', 'storage', 's3', 'studio', 'infrastructure', 'netflix', 'storage', 's3', 'studio', 'infrastructure']","['https:\\u002F\\u002Fmedium.com\\u002Ftrueface-ai\\u002Fhow-to-deploy-ai-and-computer-vision-containers-on-google-cloud-run-3c52f200d086', 'https:\\u002F\\u002Fmedium.com\\u002F@kieran.lockyer.87\\u002Fhow-to-survive-and-succeed-at-a-coding-bootcamp-622f8ef02cc2', 'https:\\u002F\\u002Fretroportalstudio.medium.com\\u002Fcheck-for-debug-release-mode-in-flutter-apps-d8d545f20da3', 'https:\\u002F\\u002Fyshimaa6696.medium.com\\u002Fbuild-version-in-identity-of-app-for-ios-ee8d027493da', 'https:\\u002F\\u002Fmedium.com\\u002F@qathiagoferreira\\u002Fquick-tip-how-to-capture-elements-that-quickly-disappear-from-the-screen-545d9afb8ae1', 'https:\\u002F\\u002Fmedium.com\\u002Fenappd\\u002Fenappd-store-biggest-inventory-of-best-quality-ios-android-app-templates-b87ca7b25388', 'https:\\u002F\\u002Fappstudiocanada.medium.com\\u002Ffrontend-vs-backend-whats-the-common-difference-a0187d8da4df', 'https:\\u002F\\u002Fmedium.com\\u002F@mqwsdw\\u002Fpartitions-interviewbit-arrays-problem-15c9ecd5235d', 'https:\\u002F\\u002Fnetflixtechblog.com\\u002Fnetflix-drive-a607538c3055']"
Cloud Computing 101: Intro To Cloud Services And Concepts,Explaining The Importance Of Virtual Private…,https://levelup.gitconnected.com/@SeattleDataGuy,https://levelup.gitconnected.com/cloud-computing-101-intro-to-cloud-services-and-concepts-2bc89bce2de?source=search_post---------9,"[<time datetime=""2020-04-15T03:55:07.770Z"">Apr 15, 2020</time>]",142,1 response,8 min read,"['quantum-computing', 'quantum-computing']",['https:\\u002F\\u002Fmedium.com\\u002Frigetti\\u002Fquantum-cloud-services-opens-in-public-beta-31989e15e36e']
