tag,claps,responses
'aws',1026724,9214
'google-cloud-platform',736748,6458
'serverless',423493,3595
'devops',299442,2481
'azure',230897,1758
'aws-lambda',191792,1666
'machine-learning',187669,1735
'docker',184208,1733
'cloud-services',180324,873
'kubernetes',179401,1458
'javascript',169074,1570
'firebase',160646,1256
'tds-features',154499,1629
'python',148036,1424
'nodejs',139802,1587
'google',122839,678
'amazon-web-services',114686,844
'cloud-functions',98036,710
'big-data',85888,711
'react',80558,654
'security',80340,815
'containers',78621,566
'blockchain',76275,763
'cloud-native',70121,394
'api',65406,414
'gcp',63324,518
'artificial-intelligence',61092,626
'paas',60519,380
'cloud-storage',60048,488
'microservices',56065,494
'terraform',53886,542
'graphql',53154,550
'deep-learning',51914,614
'amazon-s3',49320,110
's3',48982,156
'software-engineering',48780,470
'golang',43538,270
'aws-s3',38986,26
'photography',38602,6
'google-photos',38212,0
'google-play',38200,0
'google-chrome',38200,0
'angular',37080,250
'aws-appsync',36678,248
'cryptocurrency',33801,335
'engineering',33668,190
'ux',32778,182
'hybrid-cloud',32476,261
'microsoft',32454,336
'firestore',31814,192
'google-cloud',30907,194
'bitcoin',30097,169
'tensorflow',29340,414
'iaas',29138,190
'snowflake',28906,175
'b2b',28156,306
'java',28008,176
'aspnetcore',27234,130
'bigquery',26890,156
'cloud-firestore',26600,146
'cloud-sql',26394,108
'azure-functions',26302,162
'aspnet-mvc',26222,94
'webapi',26222,94
'continuous-delivery',25874,236
'google-cloud-functions',25096,232
'postgresql',24646,104
'cialTitle',24404,163
'sql',24390,110
'google-cloud-storage',24350,114
'data-archiving',24000,159
'serverless-architecture',22838,148
'compute-engine',22394,208
'aws-api-gateway',22356,286
'continuous-integration',22082,342
'firebase-cloud-functions',21890,184
'rest-api',21544,40
'open-data',20756,24
'ethereum',20668,262
'laravel',20496,192
'ec2',20236,222
'microsoft-azure',20052,140
'linux',19614,134
'reactjs',19578,136
'cloud-build',19324,162
'growth',19190,148
'cybersecurity',18662,140
'apache-beam',18437,108
'google-cloud-run',18416,122
'spring-boot',18404,160
'google-cloud-dataflow',18052,100
'indian-startups',18000,122
'ux-design',17968,204
'chennai',17576,96
'elasticsearch',17212,98
'infrastructure-as-code',17154,172
'bootstrapping',16944,536
'iot',16842,106
'pricing-strategy',16374,94
'design-best-practices',16148,158
'saasboomi',16000,58
'elastic-beanstalk',15996,224
'internet-of-things',15918,168
'vuejs',15654,102
'flutter',15288,82
'vpc',14794,152
'science',14784,188
'ui',14712,184
'hashicorp',14710,90
'nginx',14030,168
'private-cloud',13864,124
'react-native',13464,152
'aws-glue',13354,100
'cloud-scheduler',13132,140
'edge-computing',12928,24
'innovation',12864,18
'crypto',12637,116
'event-sourcing',12636,42
'aws-amplify',12636,84
'gpu',12574,186
'inbound-marketing',12440,70
'jupyter-notebook',12432,98
'cloudformation',11952,184
'oauth2',11796,82
'earnings',11772,76
'content-marketing',11738,68
'mongodb',11448,122
'public-cloud',11436,76
'growth-hacking',10874,94
'flask',10860,62
'sales',10712,200
'twitterbots',10600,48
'azure-kubernetes-service',10456,56
'point-cloud',10400,164
'voxel',10400,164
'hands-on-tutorials',10400,164
'space',10366,62
'saas-marketing',10338,236
'websocket',10326,74
'practical-guides',9840,58
'net-core',9584,76
'pub-sub',9546,120
'aws-ec2',9468,62
'nats',9400,16
'nats-streaming',9400,16
'angularfire2',9400,0
'ui-design',9228,106
'elastic-container-service',9200,148
'bitbucket-pipelines',9200,148
'saas-security',9200,14
'stripe',9158,76
'google-colab',9148,84
'sagemaker',8996,70
'cloud-security',8884,105
'auth0',8868,88
'service-broker',8800,26
'tips',8732,38
'redis',8722,48
'web-hosting',8696,96
'pandas',8628,26
'hashicorp-consul',8400,58
'percolate',8316,0
'rackspace',8278,0
'expressjs',8202,88
'日本語',8200,0
'bitcoin-mining',8188,64
'startup-lessons',8186,56
'aws-ecs',8104,90
'app-engine',8080,100
'cloudfront',8070,36
'careers',7910,118
'spring-cloud',7894,60
'ruby-on-rails',7712,70
'metrics',7708,90
'web-apps',7656,4
'azure-devops',7611,86
'universe',7400,44
'nasa',7400,44
'physics',7400,44
'athena',7400,72
'github',7300,42
'slack',7228,50
'cloud-migration',7156,94
'google-app-engine',7148,96
'kafka',7114,106
'podcasting',7000,12
'anchor',7000,12
'google-compute-engine',6932,74
'polkadot',6892,38
