title,subtitle,author_url,story_url,date,claps,responses,reading_time,tags,relatedUrl
"What are Cloud Computing Services [IaaS, CaaS, PaaS, FaaS, SaaS]",-,https://medium.com/@nnilesh7756,https://medium.com/@nnilesh7756/what-are-cloud-computing-services-iaas-caas-paas-faas-saas-ac0f6022d36e?source=search_post---------0,"[<time datetime=""2017-11-08T11:35:34.320Z"">Nov 8, 2017</time>]",935,7 responses,2 min read,"['azure', 'aspnet-mvc', 'webapi', 'paas', 'cloud-services', 'azure', 'aspnet-mvc', 'webapi', 'paas', 'cloud-services']","['https:\\u002F\\u002Fmedium.com\\u002Ft-t-software-solution\\u002F%E0%B8%AA%E0%B8%A3%E0%B9%89%E0%B8%B2%E0%B8%87-azure-app-service-%E0%B8%9F%E0%B8%A3%E0%B8%B5-%E0%B9%83%E0%B8%99-10-%E0%B8%99%E0%B8%B2%E0%B8%97%E0%B8%B5-e3a5c25ef749', 'https:\\u002F\\u002Fmedium.com\\u002Frupesh-tiwari\\u002Fcloud-security-defense-in-depth-azure-approach-aecc36d9c385', 'https:\\u002F\\u002Fjiadong-chen.medium.com\\u002Fazure-tips-weekly-issue-3-azure-regions-azure-roles-azure-ad-roles-business-continuity-and-418ba57bc9c0', 'https:\\u002F\\u002Fmedium.com\\u002F@aksharsri\\u002Fadd-approval-gates-in-azure-devops-yaml-based-pipelines-a06d5b16b7f4', 'https:\\u002F\\u002Fdevopsintegration.medium.com\\u002Fget-started-with-azure-devops-a-beginners-guide-to-why-should-you-use-devops-on-azure-d44d96d872ac']"
"SaaS, PaaS and IaaS explained in one graphic",And how the original Pizza-as-a-Service illustration is…,https://m.oursky.com/@iamdavidng,https://m.oursky.com/saas-paas-and-iaas-explained-in-one-graphic-d56c3e6f4606?source=search_post---------1,"[<time datetime=""2017-07-12T10:41:01.214Z"">Jul 12, 2017</time>]",365,1 response,6 min read,"['short-story', 'pa', 'assistant', 'entrreneur', 'short-story', 'pa', 'assistant', 'entrreneur']","['https:\\u002F\\u002Fmedium.com\\u002F@nesters\\u002Fi-hired-a-p-a-as-a-startup-founder-heres-what-she-did-to-us-b2c92c04808b', 'https:\\u002F\\u002Fadefaj.medium.com\\u002Fchift-c4e0d147eb4d', 'https:\\u002F\\u002Fmedium.com\\u002F@rezaxx\\u002Fmetaverse-its-the-future-of-world-b3903db34c5f', 'https:\\u002F\\u002Fmedium.com\\u002F@adseezabbasi\\u002Fhey-everyone-de77f52595d7', 'https:\\u002F\\u002Fwajihak2.medium.com\\u002Fmotivation-for-the-new-resolution-is-a-comfortable-way-to-achieve-goals-7e2e6d6a9b78', 'https:\\u002F\\u002Fmedium.com\\u002F@karen_lenore\\u002Finterview-with-mylene-paquin-co-founder-divona-announcing-the-launch-of-a-perfume-brand-1f6307e6bd', 'https:\\u002F\\u002Fkarolina-lewandowska.medium.com\\u002Fhow-to-overcome-fear-of-quitting-your-job-and-starting-your-own-business-bdc72763617', 'https:\\u002F\\u002Fmedium.com\\u002Fentrepreneur-first\\u002Fef-berlin-the-hunger-games-for-entrepreneurs-213ae98b8dd7', 'https:\\u002F\\u002Fmedium.com\\u002F@donnaoana\\u002Fwhy-culture-needs-to-be-the-fifth-element-of-any-company-750af50b8d07', 'https:\\u002F\\u002Fmedium.com\\u002F@PSturrock\\u002Fwhat-kind-of-business-are-you-building-fbc151026b3c', 'https:\\u002F\\u002Fmedium.datadriveninvestor.com\\u002Fbits-n-bytes-of-start-ups-and-their-funding-rounds-59f8548a515a', 'https:\\u002F\\u002Fclearpurpose.media\\u002Fwhat-youve-cared-about-in-2021-6cc665c4e59c', 'https:\\u002F\\u002Fblog.jhylee.com\\u002Fthe-20-things-that-defined-my-2020-54e46643ec78']"
Serverless is the PaaS I Always Wanted,-,https://medium.com/@Terren_in_VA,https://medium.com/capital-one-tech/serverless-is-the-paas-i-always-wanted-9e9c7d925539?source=search_post---------2,"[<time datetime=""2017-02-01T14:02:01.478Z"">Feb 1, 2017</time>]",118,3 responses,11 min read,"['azure', 'serverless', 'architecture', 'paas', 'devlife', 'azure', 'serverless', 'architecture', 'paas', 'devlife']","['https:\\u002F\\u002Fmauridb.medium.com\\u002Fazure-functions-dapper-and-sql-server-json-to-store-form-data-f95a2c9f3c12', 'https:\\u002F\\u002Fmedium.com\\u002F@shreyasshivanikar52\\u002Fms-sql-server-useful-queries-7af7964d09', 'https:\\u002F\\u002Falexeskinasy.medium.com\\u002Ftableau-server-openid-integration-with-azure-ad-b2c-and-seamless-iframe-sso-for-embedded-analytics-ba2bb9a13012', 'https:\\u002F\\u002Fmedium.com\\u002F@natallia.bahlai\\u002Fapi-management-azure-vs-mulesoft-6e854827c5a9', 'https:\\u002F\\u002Fmauridb.medium.com\\u002Fazure-sql-awesome-list-2aa7fbf00071', 'https:\\u002F\\u002Fmedium.com\\u002F@tw7613781\\u002Fcreate-identities-in-private-blockchain-network-be5f7388d336', 'https:\\u002F\\u002Fyizhe87.medium.com\\u002Flearning-basics-of-postgresql-76594bc3dccd', 'https:\\u002F\\u002Fanonymousyogi.medium.com\\u002Fhow-i-found-bug-at-swiggy-55bc2015407f', 'https:\\u002F\\u002Fkoji-kanao.medium.com\\u002Finstall-python-3-8-0-via-pyenv-on-bigsur-b4246987a548', 'https:\\u002F\\u002Fmedium.com\\u002F@smashley_eakland\\u002Ffrom-purchasing-to-python-5f1b8aa2ac59', 'https:\\u002F\\u002Fmedium.com\\u002Fmillingfor53\\u002Fconspiracy-jumpstart-04-grenzo-c07bc27cb0ba', 'https:\\u002F\\u002Fmedium.com\\u002F@mbdasappanavar\\u002Fmost-common-problems-in-competitive-programming-82bfabcacff5', 'https:\\u002F\\u002Fk0kubun.medium.com\\u002Fruby-3-jit-can-make-rails-faster-756310f235a']"
"Bulut Hizmetlerinde IaaS, PaaS, SaaS nedir ?",-,https://medium.com/@odayibasi,https://medium.com/cloud-and-servers/bulut-hizmetlerinde-iaas-paas-saas-nedir-3bb5620fd357?source=search_post---------3,"[<time datetime=""2015-11-26T12:21:21.337Z"">Nov 26, 2015</time>]",104,1 response,2 min read,"['cloud-computing', 'saas', 'deployment', 'cloud', 'software-engineering', 'cloud-computing', 'saas', 'deployment', 'cloud', 'software-engineering']","['https:\\u002F\\u002Fshereef-pt.medium.com\\u002Fwhat-is-saas-iaas-paas-cloud-computing-3efa26a61dcf', 'https:\\u002F\\u002Faviralwal.medium.com\\u002Fquick-easy-docker-elasticsearch-kibana-setup-for-development-and-research-f8f65e292ea9', 'https:\\u002F\\u002Ftomoharutsutsumi.medium.com\\u002Fpassing-foreign-key-constraint-before-creating-a-parent-object-with-d39a77ec26f2', 'https:\\u002F\\u002Fmedium.com\\u002F@roomikat4\\u002Fhow-to-root-color-x45-785d276786a7', 'https:\\u002F\\u002Fsourcediving.com\\u002Ftokyo-rails-meetup-36-july-2017-46870a988f88', 'https:\\u002F\\u002Fmedium.com\\u002F@roomikat4\\u002Fflash-stock-rom-on-celkon-a105-plus-382835efe0d', 'https:\\u002F\\u002Fmedium.com\\u002Fmemory-leak\\u002Fthe-importance-of-building-maintaining-good-developer-docs-c578278c7f8e', 'https:\\u002F\\u002Fmedium.com\\u002F@jolmudssurque1983\\u002Fbuffalo-slots-big-win-858f4cd48ee5', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fhow-to-use-docker-images-containers-and-dockerfiles-39e4e8fc181a', 'https:\\u002F\\u002Fmedium.com\\u002Fselectorai\\u002Fbeyond-cloud-native-multicloud-network-analytics-82acc7b5a297', 'https:\\u002F\\u002Fmedium.com\\u002F@brownj9695\\u002Faws-monitoring-walkthroughs-config-vs-cloudtrail-vs-cloudwatch-81f170d05493', 'https:\\u002F\\u002Fkarthiksync.medium.com\\u002Fdata-systems-architecture-past-present-and-future-ecd100e73b31', 'https:\\u002F\\u002Fmedium.com\\u002F@yash.halgaonkar18\\u002Fstorage-and-energy-efficient-cloud-computing-7c7c7769f0ec']"
Serverless vs. PaaS and Docker: Three-legged Hairless Yaks,-,https://serverless.zone/@ben11kehoe,https://serverless.zone/serverless-vs-paas-and-docker-three-legged-hairless-yaks-f2c4191b1ed6?source=search_post---------4,"[<time datetime=""2016-11-17T15:55:01.603Z"">Nov 17, 2016</time>]",112,2 responses,3 min read,[],"['https:\\u002F\\u002Fmedium.com\\u002F@gabrtv\\u002Fdevops-and-the-future-of-paas-2e8bb5650709', 'https:\\u002F\\u002Fmedium.com\\u002F@rajini1608\\u002Flinked-list-data-structure-19f42e3831e6', 'https:\\u002F\\u002Fmedium.com\\u002F@rggopan123\\u002Fskin-lesion-segmentation-using-u-net-architecture-92908e2bc070', 'https:\\u002F\\u002Fmedium.com\\u002F@a177398\\u002Fextract-transform-load-etl-for-powerbank-in-shopee-ce3a1a19a667', 'https:\\u002F\\u002Fmedium.com\\u002F@SmokeInfiltrationWestHarrison\\u002Flogging-an-addicts-habit-92557b5ac16']"
"Mengenal IaaS vs Paas vs SaaS, Menghindari Salah Kaprah Teknologi Cloud",-,https://medium.com/@ariya114,https://medium.com/@ariya114/mengenal-iaas-vs-paas-vs-saas-menghindari-salah-kaprah-teknologi-cloud-5358dd843312?source=search_post---------5,"[<time datetime=""2020-01-12T20:04:33.646Z"">Jan 13, 2020</time>]",283,0 responses,7 min read,"['docker', 'amazon', 'open-source', 'docker', 'amazon', 'open-source']","['https:\\u002F\\u002Fmedium.com\\u002F@RemindEng\\u002Fintroducing-empire-a-self-hosted-paas-built-on-docker-amazon-ecs-7f8beb7f6ae4', 'https:\\u002F\\u002Fdevelopernationworld.medium.com\\u002Ffirefox-96-released-gitlab-security-release-dev-corrupts-npm-libraries-breaking-thousands-of-2a80d6579780', 'https:\\u002F\\u002Fmedium.com\\u002F@singer.thing0a\\u002Fsynology-notifications-on-slack-using-webhooks-1dd9d00fdd54', 'https:\\u002F\\u002Fprashant-choudhary.medium.com\\u002Fdocker-desktop-alternative-docker-cli-docker-compose-minkube-hyperkit-6d5a195bf333', 'https:\\u002F\\u002Fsrimalfernando.medium.com\\u002Fhow-to-host-multiple-servers-with-different-sub-domains-inside-one-digitalocean-droplet-f6d5887538fa']"
IaaS vs PaaS vs SaaS,When your ecommerce business grows,https://medium.com/@jnyh,https://medium.com/swlh/iaas-vs-paas-vs-saas-dfece8fd6ca?source=search_post---------6,"[<time datetime=""2020-07-10T17:36:42.555Z"">Jul 10, 2020</time>]",257,0 responses,4 min read,"['cloud-computing', 'alibaba-cloud', 'paas', 'microservices', 'big-data', 'cloud-computing', 'alibaba-cloud', 'paas', 'microservices', 'big-data']","['https:\\u002F\\u002Falibaba-cloud.medium.com\\u002Fbuilding-a-fully-open-industrial-intelligent-paas-platform-with-et-industrial-brain-4107f196768a', 'https:\\u002F\\u002Fmedium.datadriveninvestor.com\\u002Fis-ai-safety-impossible-625ee2ed9b91', 'https:\\u002F\\u002Fmedium.com\\u002Fringcentral-developers\\u002F5-ways-to-drive-results-with-business-communications-ai-ca68477428a9', 'https:\\u002F\\u002Fmedium.com\\u002Fswlh\\u002Fbasal-ganglia-action-selection-reinforcement-learning-cd7d50e54c72', 'https:\\u002F\\u002Fthegovlab.medium.com\\u002Fmass-computer-generated-and-fraudulent-comments-42fb17be24ba', 'https:\\u002F\\u002Fmedium.com\\u002F@mythtakenidentity\\u002Fintegumen-aiming-for-growth-with-leading-innovation-and-partnerships-d6cbe32b2278', 'https:\\u002F\\u002Fmedium.com\\u002F@AustralianDroid\\u002Fcane-rails-robotic-testing-of-the-railscan-540d0183b95', 'https:\\u002F\\u002Fmedium.com\\u002F@kguruswamy_37814\\u002Fmitigating-bias-in-ai-ml-models-with-disparate-impact-analysis-9920212ee01c', 'https:\\u002F\\u002Fmedium.com\\u002Fthe-startup-buzz\\u002Fdeepbench-unleashing-the-power-of-expert-knowledge-708c3d9ba106', 'https:\\u002F\\u002Fmedium.com\\u002Fdip-sharing\\u002Fsecor-an-open-source-step-towards-the-cloud-38f59b3ad1f7', 'https:\\u002F\\u002Ftimbrowndatablog.medium.com\\u002Fapache-beam-open-telemetry-8f72ba65fe9c', 'https:\\u002F\\u002Frajgarg.medium.com\\u002Fhow-cassandra-works-the-best-semi-sql-database-80b2123c846f', 'https:\\u002F\\u002Fdttung2905.medium.com\\u002Fkafka-internals-client-dns-lookup-c993955810e3']"
Prana: A Sidecar for your Netflix PaaS based Applications and Services,-,https://netflixtechblog.com/@netflixtechblog,https://netflixtechblog.com/prana-a-sidecar-for-your-netflix-paas-based-applications-and-services-258a5790a015?source=search_post---------7,"[<time datetime=""2014-11-05T08:00:00.000Z"">Nov 5, 2014</time>]",54,2 responses,6 min read,"['docker', 'openshift', 'ibm', 'docker', 'openshift', 'ibm']","['https:\\u002F\\u002Fludovicbonivert.medium.com\\u002Fpaas-and-furious-containers-kubernetes-red-hat-openshift-1e14c7ebb35d', 'https:\\u002F\\u002Fmedium.com\\u002F@Shivamtyagii\\u002Fthe-future-of-data-on-kubernetes-melissa-logan-c130caa3f5e2', 'https:\\u002F\\u002Fsachin34268.medium.com\\u002Fadmission-controllers-for-kubernetes-clusters-with-kyverno-93e8647ab2da', 'https:\\u002F\\u002Fmedium.com\\u002F@sean1223\\u002Fprometheus-what-is-the-difference-between-rate-and-irate-add7adc34405', 'https:\\u002F\\u002Fmedium.com\\u002F@v2pkthakur\\u002Fmigrating-from-openshift-3-to-4-picking-the-right-tools-ab617c5bf9f8']"
Gomix and the Evolution of PaaS,-,https://medium.com/@_gw,https://medium.com/gomix/gomix-and-the-evolution-of-paas-3624fed131b9?source=search_post---------8,"[<time datetime=""2016-12-16T14:22:07.437Z"">Dec 16, 2016</time>]",23,0 responses,4 min read,"['devops', 'paas', 'devops', 'paas']","['https:\\u002F\\u002Fmedium.com\\u002F@jpaulreed\\u002Fpass-the-paas-plz-d4474511fa0c', 'https:\\u002F\\u002Fmedium.com\\u002F@muhammad642ali\\u002F6-testing-types-every-developer-should-understand-wildblog-d6ae4100822c', 'https:\\u002F\\u002Fmedium.com\\u002Fnerd-for-tech\\u002Fwhat-is-devops-a152160037f3', 'https:\\u002F\\u002Faditya-sunjava.medium.com\\u002Fmulti-container-pod-design-patterns-in-kubernetes-d1e6a678bca1', 'https:\\u002F\\u002Fretya-mahendra.medium.com\\u002Fjourney-with-red-hat-codeready-containers-at-my-local-ac0d2b211fd0']"
Storage in PaaS: Minio and Deis,-,https://medium.com/@tiwari_nitish,https://medium.com/@tiwari_nitish/storage-in-paas-minio-and-deis-7f9f604dedf2?source=search_post---------9,"[<time datetime=""2016-06-09T17:46:24.748Z"">Jun 9, 2016</time>]",17,0 responses,5 min read,"['cloud', 'cloud-computing', 'stocks', 'paas', 'ipo', 'cloud', 'cloud-computing', 'stocks', 'paas', 'ipo']","['https:\\u002F\\u002Fsramana.medium.com\\u002Fcloud-stocks-paas-strategy-makes-the-unity-ipo-soar-7471cfbee0f4', 'https:\\u002F\\u002Fbitnovella.medium.com\\u002Fwhatever-happened-to-the-new-atari-console-a-discussion-c6013ebbbb24', 'https:\\u002F\\u002Fmedium.com\\u002Fdigital-reflections\\u002Fadvertising-in-video-games-226d5f3d5e7', 'https:\\u002F\\u002Falba-mercade.medium.com\\u002Famnesia-the-dark-descent-how-it-changed-the-horror-game-genre-579e4860eebc', 'https:\\u002F\\u002Fnewpurple.medium.com\\u002Ffun-driving-games-to-play-online-668b0b66ef49', 'https:\\u002F\\u002Fvegiemon.medium.com\\u002Fintroduction-to-vegiemon-73858146183d', 'https:\\u002F\\u002Fbrucekesselr.medium.com\\u002Fdisorganized-reflections-on-games-i-played-in-2020-f65acd170c99', 'https:\\u002F\\u002Fcreativepixelacademy.medium.com\\u002Fan-overview-of-cinematics-for-games-with-ashley-ruhl-c614a669e9b5', 'https:\\u002F\\u002Fmedium.com\\u002F@crc91118\\u002Fjournal-2-8da999e350bf', 'https:\\u002F\\u002Fmedium.com\\u002F@ekarabatsakis\\u002Fhow-customers-helped-us-survive-a-cyber-attack-5ddd2729c3f3', 'https:\\u002F\\u002Fmedium.com\\u002F@sne.s\\u002Flevel-5-autonomy-where-are-our-self-driving-cars-975a35870f29', 'https:\\u002F\\u002Fbtcbamofficial.medium.com\\u002Fbtcbam-combining-bitcoin-and-ethereum-a9dcd1e21fad', 'https:\\u002F\\u002Fsixthirty-ventures.medium.com\\u002Fwhy-we-invested-neosec-1a01d44b12e2']"
